prob,mass,ymax,ymin,xmin,xmax
0,0.0,2.0117284913060933,2.0117284913060933,0,
12,0.06,2.0117284913060933,2.007350201861007,0,13.7039820579564
25,0.065,2.007350201861007,2.003378884663684,0,16.367365478591108
37,0.06,2.003378884663684,1.9990051705380605,0,13.71831772188444
50,0.065,1.9990051705380605,1.9963056671789543,0,24.078503099741212
62,0.06,1.9963056671789543,1.9922120203152336,0,14.65685780855705
75,0.065,1.9922120203152336,1.9851413618077152,0,9.192920281878093
87,0.06,1.9851413618077152,1.9757815049422494,0,6.4103544383650135
95,0.03999999999999998,1.9757815049422494,1.9632456266590135,0,3.1908414469444577
0,0.0,2.0117284913060933,2.0117284913060933,0,
12,0.06,2.015025196225832,2.0117284913060933,0,18.19999103976658
25,0.065,2.018682757373713,2.015025196225832,0,17.77140487115474
37,0.06,2.0216059025216744,2.018682757373713,0,20.5258367145565
50,0.065,2.0262218983296996,2.0216059025216744,0,14.081468593839187
62,0.06,2.0294910806423303,2.0262218983296996,0,18.353213208142417
75,0.065,2.0345849600416157,2.0294910806423303,0,12.760412036672584
87,0.06,2.0428074087293036,2.0345849600416157,0,7.297096312664497
95,0.03999999999999998,2.0574113977454753,2.0428074087293036,0,2.7389776831320445
