prob,mass,ymax,ymin,xmin,xmax
0,0.0,0.9746659798765192,0.9746659798765192,0,
12,0.06,0.9746659798765192,0.9239050344720365,0,1.18201108198236
25,0.065,0.9239050344720365,0.8565483874654398,0,0.9650124061792162
37,0.06,0.8565483874654398,0.8130377272212608,0,1.378972409595346
50,0.065,0.8130377272212608,0.7483459226255688,0,1.0047640563783022
62,0.06,0.7483459226255688,0.6688554287751857,0,0.754807236610354
75,0.065,0.6688554287751857,0.5947731813398717,0,0.8774031870017943
87,0.06,0.5947731813398717,0.4728390502427441,0,0.4920689511635305
95,0.03999999999999998,0.4728390502427441,0.38401358457591855,0,0.45032130931950914
0,0.0,0.9746659798765192,0.9746659798765192,0,
12,0.06,1.057226828825984,0.9746659798765192,0,0.726736713145061
25,0.065,1.1900878280780822,1.057226828825984,0,0.48923311104009715
37,0.06,1.3478833595815005,1.1900878280780822,0,0.3802389042854501
50,0.065,1.4836044900690435,1.3478833595815005,0,0.47892321384668957
62,0.06,1.6644129768195406,1.4836044900690435,0,0.33184283037994644
75,0.065,1.7616455911116393,1.6644129768195406,0,0.6684999727018757
87,0.06,1.8908386501385164,1.7616455911116393,0,0.46442123479340885
95,0.03999999999999998,1.9841633087062838,1.8908386501385164,0,0.42861126538120803
