prob,mass,ymax,ymin,xmin,xmax
0,0.0,2.011728491306095,2.011728491306095,0,
12,0.06,2.011728491306095,2.007350201861009,0,13.7039820579564
25,0.065,2.007350201861009,2.003378884663685,0,16.36736547858745
37,0.06,2.003378884663685,1.999005170538058,0,13.718317721873992
50,0.065,1.999005170538058,1.9963056671789556,0,24.07850309977488
62,0.06,1.9963056671789556,1.9922120203152347,0,14.656857808556254
75,0.065,1.9922120203152347,1.9851413618077127,0,9.192920281873473
87,0.06,1.9851413618077127,1.9757815049422505,0,6.410354438367447
95,0.03999999999999998,1.9757815049422505,1.9632456266590173,0,3.1908414469451363
0,0.0,2.011728491306095,2.011728491306095,0,
12,0.06,2.015025196225832,2.011728491306095,0,18.19999103977639
25,0.065,2.0186827573737145,2.015025196225832,0,17.771404871148267
37,0.06,2.0216059025216793,2.0186827573737145,0,20.525836714531554
50,0.065,2.0262218983297,2.0216059025216793,0,14.081468593852735
62,0.06,2.029491080642333,2.0262218983297,0,18.35321320812995
75,0.065,2.034584960041618,2.029491080642333,0,12.760412036673696
87,0.06,2.0428074087293067,2.034584960041618,0,7.297096312663708
95,0.03999999999999998,2.05741139774548,2.0428074087293067,0,2.7389776831317114
