prob,mass,ymax,ymin,xmin,xmax
0,0.0,0.9746659798765115,0.9746659798765115,0,
12,0.06,0.9746659798765115,0.9239050344720289,0,1.18201108198236
25,0.065,0.9239050344720289,0.8565483874654342,0,0.9650124061792449
37,0.06,0.8565483874654342,0.8130377272212614,0,1.3789724095955465
50,0.065,0.8130377272212614,0.7483459226255681,0,1.0047640563782816
62,0.06,0.7483459226255681,0.6688554287751843,0,0.7548072366103477
75,0.065,0.6688554287751843,0.5947731813398675,0,0.8774031870017601
87,0.06,0.5947731813398675,0.472839050242737,0,0.49206895116351884
95,0.03999999999999998,0.472839050242737,0.3840135845759166,0,0.45032130931953535
0,0.0,0.9746659798765115,0.9746659798765115,0,
12,0.06,1.0572268288259794,0.9746659798765115,0,0.7267367131450346
25,0.065,1.1900878280780807,1.0572268288259794,0,0.4892331110400857
37,0.06,1.3478833595815025,1.1900878280780807,0,0.38023890428544155
50,0.065,1.4836044900690466,1.3478833595815025,0,0.4789232138466856
62,0.06,1.6644129768195377,1.4836044900690466,0,0.33184283037995743
75,0.065,1.7616455911116404,1.6644129768195377,0,0.6684999727018481
87,0.06,1.890838650138518,1.7616455911116404,0,0.46442123479340724
95,0.03999999999999998,1.9841633087062815,1.890838650138518,0,0.42861126538122535
