fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,5.391791784065866,5.391791784065866,model,beta
21.0,0.0,12,4.953426673300174,5.830156894831557,model,beta
21.0,0.0,25,3.428978211336638,6.110853118548603,model,beta
21.0,0.0,37,3.428978211336638,6.110853118548603,model,beta
21.0,0.0,50,2.8884574800189986,7.372871372457395,model,beta
21.0,0.0,62,1.7416796445739262,8.399491560940048,model,beta
21.0,0.0,75,1.7416796445739262,8.399491560940048,model,beta
21.0,0.0,87,0.7252873265440309,9.375581719666528,model,beta
21.0,0.0,95,0.7252873265440309,9.375581719666528,model,beta
21.0,1.0,0,7.372871372457395,7.372871372457395,model,beta
21.0,1.0,12,7.372871372457395,7.372871372457395,model,beta
21.0,1.0,25,6.110853118548603,7.372871372457395,model,beta
21.0,1.0,37,6.110853118548603,8.399491560940048,model,beta
21.0,1.0,50,5.830156894831557,8.399491560940048,model,beta
21.0,1.0,62,5.830156894831557,8.399491560940048,model,beta
21.0,1.0,75,4.953426673300174,8.399491560940048,model,beta
21.0,1.0,87,4.953426673300174,8.399491560940048,model,beta
21.0,1.0,95,4.953426673300174,8.399491560940048,model,beta
21.0,2.0,0,7.372871372457395,7.372871372457395,model,beta
21.0,2.0,12,7.372871372457395,7.372871372457395,model,beta
21.0,2.0,25,6.110853118548603,7.372871372457395,model,beta
21.0,2.0,37,6.110853118548603,8.399491560940048,model,beta
21.0,2.0,50,5.830156894831557,8.399491560940048,model,beta
21.0,2.0,62,5.830156894831557,8.399491560940048,model,beta
21.0,2.0,75,4.953426673300174,8.399491560940048,model,beta
21.0,2.0,87,4.953426673300174,8.399491560940048,model,beta
21.0,2.0,95,4.953426673300174,8.399491560940048,model,beta
21.0,3.0,0,7.372871372457395,7.372871372457395,model,beta
21.0,3.0,12,7.372871372457395,7.372871372457395,model,beta
21.0,3.0,25,6.110853118548603,7.372871372457395,model,beta
21.0,3.0,37,5.830156894831557,8.399491560940048,model,beta
21.0,3.0,50,5.830156894831557,8.399491560940048,model,beta
21.0,3.0,62,4.953426673300174,8.399491560940048,model,beta
21.0,3.0,75,4.953426673300174,8.399491560940048,model,beta
21.0,3.0,87,4.953426673300174,8.399491560940048,model,beta
21.0,3.0,95,4.953426673300174,8.399491560940048,model,beta
21.0,4.0,0,7.372871372457395,7.372871372457395,model,beta
21.0,4.0,12,7.372871372457395,7.372871372457395,model,beta
21.0,4.0,25,7.372871372457395,7.372871372457395,model,beta
21.0,4.0,37,6.110853118548603,8.399491560940048,model,beta
21.0,4.0,50,4.953426673300174,8.399491560940048,model,beta
21.0,4.0,62,4.953426673300174,8.399491560940048,model,beta
21.0,4.0,75,4.953426673300174,8.399491560940048,model,beta
21.0,4.0,87,4.953426673300174,8.399491560940048,model,beta
21.0,4.0,95,4.953426673300174,8.399491560940048,model,beta
21.0,5.0,0,7.372871372457395,7.372871372457395,model,beta
21.0,5.0,12,7.372871372457395,7.372871372457395,model,beta
21.0,5.0,25,4.953426673300174,7.372871372457395,model,beta
21.0,5.0,37,4.953426673300174,7.372871372457395,model,beta
21.0,5.0,50,4.953426673300174,8.399491560940048,model,beta
21.0,5.0,62,4.953426673300174,8.399491560940048,model,beta
21.0,5.0,75,4.953426673300174,8.399491560940048,model,beta
21.0,5.0,87,4.953426673300174,8.399491560940048,model,beta
21.0,5.0,95,4.953426673300174,8.399491560940048,model,beta
21.0,6.0,0,5.3414539646953765,5.3414539646953765,model,beta
21.0,6.0,12,5.097722955346043,5.58518497404471,model,beta
21.0,6.0,25,4.604000356151942,7.201853419387382,model,beta
21.0,6.0,37,4.604000356151942,7.201853419387382,model,beta
21.0,6.0,50,4.435166577111009,7.565959718249886,model,beta
21.0,6.0,62,4.3448443021420315,7.5974850310552196,model,beta
21.0,6.0,75,4.3448443021420315,7.5974850310552196,model,beta
21.0,6.0,87,4.20240656929464,8.283464228031093,model,beta
21.0,6.0,95,4.20240656929464,8.283464228031093,model,beta
21.0,7.0,0,4.604000356151942,4.604000356151942,model,beta
21.0,7.0,12,4.435166577111009,4.604000356151942,model,beta
21.0,7.0,25,4.435166577111009,5.097722955346043,model,beta
21.0,7.0,37,4.435166577111009,5.097722955346043,model,beta
21.0,7.0,50,4.3448443021420315,5.58518497404471,model,beta
21.0,7.0,62,4.3448443021420315,5.58518497404471,model,beta
21.0,7.0,75,4.20240656929464,7.201853419387382,model,beta
21.0,7.0,87,4.20240656929464,7.565959718249886,model,beta
21.0,7.0,95,4.20240656929464,8.283464228031093,model,beta
21.0,8.0,0,4.435166577111009,4.435166577111009,model,beta
21.0,8.0,12,4.435166577111009,4.604000356151942,model,beta
21.0,8.0,25,4.435166577111009,4.604000356151942,model,beta
21.0,8.0,37,4.3448443021420315,4.604000356151942,model,beta
21.0,8.0,50,4.3448443021420315,5.097722955346043,model,beta
21.0,8.0,62,4.3448443021420315,5.097722955346043,model,beta
21.0,8.0,75,4.20240656929464,5.58518497404471,model,beta
21.0,8.0,87,4.20240656929464,5.58518497404471,model,beta
21.0,8.0,95,4.20240656929464,5.58518497404471,model,beta
21.0,9.0,0,4.435166577111009,4.435166577111009,model,beta
21.0,9.0,12,4.3448443021420315,4.435166577111009,model,beta
21.0,9.0,25,4.3448443021420315,4.435166577111009,model,beta
21.0,9.0,37,4.3448443021420315,4.604000356151942,model,beta
21.0,9.0,50,4.3448443021420315,4.604000356151942,model,beta
21.0,9.0,62,4.20240656929464,4.604000356151942,model,beta
21.0,9.0,75,4.20240656929464,4.604000356151942,model,beta
21.0,9.0,87,4.20240656929464,5.097722955346043,model,beta
21.0,9.0,95,4.20240656929464,5.58518497404471,model,beta
21.0,10.0,0,4.435166577111009,4.435166577111009,model,beta
21.0,10.0,12,4.435166577111009,4.435166577111009,model,beta
21.0,10.0,25,4.435166577111009,4.604000356151942,model,beta
21.0,10.0,37,4.3448443021420315,4.604000356151942,model,beta
21.0,10.0,50,4.20240656929464,4.604000356151942,model,beta
21.0,10.0,62,4.20240656929464,4.604000356151942,model,beta
21.0,10.0,75,4.20240656929464,5.097722955346043,model,beta
21.0,10.0,87,4.20240656929464,5.58518497404471,model,beta
21.0,10.0,95,4.20240656929464,5.58518497404471,model,beta
21.0,11.0,0,4.604000356151942,4.604000356151942,model,beta
21.0,11.0,12,4.604000356151942,4.604000356151942,model,beta
21.0,11.0,25,4.604000356151942,4.604000356151942,model,beta
21.0,11.0,37,4.604000356151942,4.604000356151942,model,beta
21.0,11.0,50,4.604000356151942,5.097722955346043,model,beta
21.0,11.0,62,4.435166577111009,5.097722955346043,model,beta
21.0,11.0,75,4.435166577111009,5.097722955346043,model,beta
21.0,11.0,87,4.20240656929464,5.097722955346043,model,beta
21.0,11.0,95,4.20240656929464,5.097722955346043,model,beta
21.0,12.0,0,4.460088778570022,4.460088778570022,model,beta
21.0,12.0,12,4.419537689668914,4.500639867471128,model,beta
21.0,12.0,25,4.416797247404619,4.567004844919774,model,beta
21.0,12.0,37,4.416797247404619,4.567004844919774,model,beta
21.0,12.0,50,4.2816330209145805,4.567700857918211,model,beta
21.0,12.0,62,4.234511015711929,4.716436913998812,model,beta
21.0,12.0,75,4.234511015711929,4.716436913998812,model,beta
21.0,12.0,87,4.125649254866455,5.559233451374922,model,beta
21.0,12.0,95,4.125649254866455,5.559233451374922,model,beta
21.0,13.0,0,4.460088778570022,4.460088778570022,model,beta
21.0,13.0,12,4.419537689668914,4.500639867471128,model,beta
21.0,13.0,25,4.416797247404619,4.567004844919774,model,beta
21.0,13.0,37,4.416797247404619,4.567004844919774,model,beta
21.0,13.0,50,4.2816330209145805,4.567700857918211,model,beta
21.0,13.0,62,4.234511015711929,4.716436913998812,model,beta
21.0,13.0,75,4.234511015711929,4.716436913998812,model,beta
21.0,13.0,87,4.125649254866455,5.559233451374922,model,beta
21.0,13.0,95,4.125649254866455,5.559233451374922,model,beta
21.0,14.0,0,4.460088778570022,4.460088778570022,model,beta
21.0,14.0,12,4.419537689668914,4.500639867471128,model,beta
21.0,14.0,25,4.416797247404619,4.567004844919774,model,beta
21.0,14.0,37,4.416797247404619,4.567004844919774,model,beta
21.0,14.0,50,4.2816330209145805,4.567700857918211,model,beta
21.0,14.0,62,4.234511015711929,4.716436913998812,model,beta
21.0,14.0,75,4.234511015711929,4.716436913998812,model,beta
21.0,14.0,87,4.125649254866455,5.559233451374922,model,beta
21.0,14.0,95,4.125649254866455,5.559233451374922,model,beta
