fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,5.000512405104322,5.000512405104322,model,phi
21.0,0.0,12,4.400047984968522,5.5998610611035575,model,phi
21.0,0.0,25,3.749425725693471,6.2508862728680255,model,phi
21.0,0.0,37,3.1483785573340013,6.850265957477446,model,phi
21.0,0.0,50,2.499632365046785,7.499538384247422,model,phi
21.0,0.0,62,1.9005156214549703,8.101109129619104,model,phi
21.0,0.0,75,1.250340325337179,8.750208970103662,model,phi
21.0,0.0,87,0.651573075131605,9.350200506976632,model,phi
21.0,0.0,95,0.2505528446610031,9.748605829838207,model,phi
21.0,1.0,0,4.903834135739482,4.903834135739482,model,phi
21.0,1.0,12,4.3476254913829955,5.46607501681597,model,phi
21.0,1.0,25,3.7301047235843905,6.1496390834450585,model,phi
21.0,1.0,37,3.2176864223818793,6.748875348823171,model,phi
21.0,1.0,50,2.5569453198499663,7.576804430464781,model,phi
21.0,1.0,62,1.9575623959184583,8.221432045394355,model,phi
21.0,1.0,75,1.3082195080727836,8.94269035958685,model,phi
21.0,1.0,87,0.60420805017903,9.531006277304236,model,phi
21.0,1.0,95,0.03593351769782812,10.156097733294036,model,phi
21.0,2.0,0,5.354978398089703,5.354978398089703,model,phi
21.0,2.0,12,4.801115567368112,5.859274416759163,model,phi
21.0,2.0,25,4.234012689681615,6.5204110390786525,model,phi
21.0,2.0,37,3.6456991317017273,7.187781201628692,model,phi
21.0,2.0,50,3.0261724765120945,7.865648289866691,model,phi
21.0,2.0,62,2.325344030845766,8.490139296922655,model,phi
21.0,2.0,75,1.5791382732438466,9.108508684164455,model,phi
21.0,2.0,87,0.7666975888336212,9.61871497418838,model,phi
21.0,2.0,95,0.13931375083365893,10.20702257005954,model,phi
21.0,3.0,0,5.094042174393163,5.094042174393163,model,phi
21.0,3.0,12,4.5786525881767215,5.663617332625443,model,phi
21.0,3.0,25,4.010814055135821,6.311507611763315,model,phi
21.0,3.0,37,3.4337136602154263,6.969596822357215,model,phi
21.0,3.0,50,2.7840853201037095,7.735627335048496,model,phi
21.0,3.0,62,2.100695595910772,8.334342098037048,model,phi
21.0,3.0,75,1.3612232945620977,9.027961141030126,model,phi
21.0,3.0,87,0.673406181971363,9.582600674491527,model,phi
21.0,3.0,95,0.13201640371086404,10.230760560510584,model,phi
21.0,4.0,0,5.613254561962344,5.613254561962344,model,phi
21.0,4.0,12,5.084535180817423,6.066043915967059,model,phi
21.0,4.0,25,4.628284561906552,6.655359847808681,model,phi
21.0,4.0,37,4.205712188398658,7.393375285542361,model,phi
21.0,4.0,50,3.5946321556054954,8.022245808551514,model,phi
21.0,4.0,62,3.0229125416172486,8.557940232637574,model,phi
21.0,4.0,75,2.2205318220152797,9.148059108163979,model,phi
21.0,4.0,87,1.3615004881743762,9.821987040496513,model,phi
21.0,4.0,95,0.6008277985973155,10.345232993523572,model,phi
21.0,5.0,0,5.70173225228689,5.70173225228689,model,phi
21.0,5.0,12,5.230526617757086,6.162374358180012,model,phi
21.0,5.0,25,4.794927281239636,6.763125304112043,model,phi
21.0,5.0,37,4.400122469526311,7.498514574168289,model,phi
21.0,5.0,50,3.939731943385814,8.10598505459079,model,phi
21.0,5.0,62,3.3352046933164794,8.623086306778855,model,phi
21.0,5.0,75,2.637822109272088,9.18803365942213,model,phi
21.0,5.0,87,1.8459648260027142,9.87119074508726,model,phi
21.0,5.0,95,0.9639906353023835,10.491713806542377,model,phi
21.0,6.0,0,5.7593540188405115,5.7593540188405115,model,phi
21.0,6.0,12,5.368551694999174,6.174380390320537,model,phi
21.0,6.0,25,4.906799755740317,6.784516049193276,model,phi
