fs_time,time,param1,param2,covar
14.0,14.0,rho,k,0.0
14.0,14.0,rho,pi,-0.035451775415604944
14.0,14.0,rho,lnV0,0.0007536969271252806
14.0,14.0,rho,phi,-0.003714521163055483
14.0,14.0,rho,c,0.0
14.0,14.0,rho,beta,-0.00076405871837824
14.0,14.0,rho,delta,-8.93123108086915e-05
14.0,14.0,k,pi,0.0
14.0,14.0,k,lnV0,0.0
14.0,14.0,k,phi,0.0
14.0,14.0,k,c,0.0
14.0,14.0,k,beta,0.0
14.0,14.0,k,delta,0.0
14.0,14.0,pi,lnV0,-1.8301400696286976
14.0,14.0,pi,phi,10.552245076875007
14.0,14.0,pi,c,0.0
14.0,14.0,pi,beta,2.5598876173877345
14.0,14.0,pi,delta,-0.004380926593322383
14.0,14.0,lnV0,phi,-0.183553885990878
14.0,14.0,lnV0,c,0.0
14.0,14.0,lnV0,beta,-0.034080236314766255
14.0,14.0,lnV0,delta,-0.006860924564182664
14.0,14.0,phi,c,0.0
14.0,14.0,phi,beta,0.3928314508011941
14.0,14.0,phi,delta,-0.0428618876863792
14.0,14.0,c,beta,0.0
14.0,14.0,c,delta,0.0
14.0,14.0,beta,delta,-0.02825128670485565
14.0,15.0,rho,k,0.0
14.0,15.0,rho,pi,-0.035451775415604944
14.0,15.0,rho,lnV0,0.0007536969271252806
14.0,15.0,rho,phi,-0.003714521163055483
14.0,15.0,rho,c,0.0
14.0,15.0,rho,beta,-0.00076405871837824
14.0,15.0,rho,delta,-8.93123108086915e-05
14.0,15.0,k,pi,0.0
14.0,15.0,k,lnV0,0.0
14.0,15.0,k,phi,0.0
14.0,15.0,k,c,0.0
14.0,15.0,k,beta,0.0
14.0,15.0,k,delta,0.0
14.0,15.0,pi,lnV0,-1.8301400696286976
14.0,15.0,pi,phi,10.552245076875007
14.0,15.0,pi,c,0.0
14.0,15.0,pi,beta,2.5598876173877345
14.0,15.0,pi,delta,-0.004380926593322383
14.0,15.0,lnV0,phi,-0.183553885990878
14.0,15.0,lnV0,c,0.0
14.0,15.0,lnV0,beta,-0.034080236314766255
14.0,15.0,lnV0,delta,-0.006860924564182664
14.0,15.0,phi,c,0.0
14.0,15.0,phi,beta,0.3928314508011941
14.0,15.0,phi,delta,-0.0428618876863792
14.0,15.0,c,beta,0.0
14.0,15.0,c,delta,0.0
14.0,15.0,beta,delta,-0.02825128670485565
14.0,16.0,rho,k,0.0
14.0,16.0,rho,pi,-0.035451775415604944
14.0,16.0,rho,lnV0,0.0007536969271252806
14.0,16.0,rho,phi,-0.003714521163055483
14.0,16.0,rho,c,0.0
14.0,16.0,rho,beta,-0.00076405871837824
14.0,16.0,rho,delta,-8.93123108086915e-05
14.0,16.0,k,pi,0.0
14.0,16.0,k,lnV0,0.0
14.0,16.0,k,phi,0.0
14.0,16.0,k,c,0.0
14.0,16.0,k,beta,0.0
14.0,16.0,k,delta,0.0
14.0,16.0,pi,lnV0,-1.8301400696286976
14.0,16.0,pi,phi,10.552245076875007
14.0,16.0,pi,c,0.0
14.0,16.0,pi,beta,2.5598876173877345
14.0,16.0,pi,delta,-0.004380926593322383
14.0,16.0,lnV0,phi,-0.183553885990878
14.0,16.0,lnV0,c,0.0
14.0,16.0,lnV0,beta,-0.034080236314766255
14.0,16.0,lnV0,delta,-0.006860924564182664
14.0,16.0,phi,c,0.0
14.0,16.0,phi,beta,0.3928314508011941
14.0,16.0,phi,delta,-0.0428618876863792
14.0,16.0,c,beta,0.0
14.0,16.0,c,delta,0.0
14.0,16.0,beta,delta,-0.02825128670485565
14.0,17.0,rho,k,0.0
14.0,17.0,rho,pi,-0.035451775415604944
14.0,17.0,rho,lnV0,0.0007536969271252806
14.0,17.0,rho,phi,-0.003714521163055483
14.0,17.0,rho,c,0.0
14.0,17.0,rho,beta,-0.00076405871837824
14.0,17.0,rho,delta,-8.93123108086915e-05
14.0,17.0,k,pi,0.0
14.0,17.0,k,lnV0,0.0
14.0,17.0,k,phi,0.0
14.0,17.0,k,c,0.0
14.0,17.0,k,beta,0.0
14.0,17.0,k,delta,0.0
14.0,17.0,pi,lnV0,-1.8301400696286976
14.0,17.0,pi,phi,10.552245076875007
14.0,17.0,pi,c,0.0
14.0,17.0,pi,beta,2.5598876173877345
14.0,17.0,pi,delta,-0.004380926593322383
14.0,17.0,lnV0,phi,-0.183553885990878
14.0,17.0,lnV0,c,0.0
14.0,17.0,lnV0,beta,-0.034080236314766255
14.0,17.0,lnV0,delta,-0.006860924564182664
14.0,17.0,phi,c,0.0
14.0,17.0,phi,beta,0.3928314508011941
14.0,17.0,phi,delta,-0.0428618876863792
14.0,17.0,c,beta,0.0
14.0,17.0,c,delta,0.0
14.0,17.0,beta,delta,-0.02825128670485565
14.0,18.0,rho,k,0.0
14.0,18.0,rho,pi,-0.035451775415604944
14.0,18.0,rho,lnV0,0.0007536969271252806
14.0,18.0,rho,phi,-0.003714521163055483
14.0,18.0,rho,c,0.0
14.0,18.0,rho,beta,-0.00076405871837824
14.0,18.0,rho,delta,-8.93123108086915e-05
14.0,18.0,k,pi,0.0
14.0,18.0,k,lnV0,0.0
14.0,18.0,k,phi,0.0
14.0,18.0,k,c,0.0
14.0,18.0,k,beta,0.0
14.0,18.0,k,delta,0.0
14.0,18.0,pi,lnV0,-1.8301400696286976
14.0,18.0,pi,phi,10.552245076875007
14.0,18.0,pi,c,0.0
14.0,18.0,pi,beta,2.5598876173877345
14.0,18.0,pi,delta,-0.004380926593322383
14.0,18.0,lnV0,phi,-0.183553885990878
14.0,18.0,lnV0,c,0.0
14.0,18.0,lnV0,beta,-0.034080236314766255
14.0,18.0,lnV0,delta,-0.006860924564182664
14.0,18.0,phi,c,0.0
14.0,18.0,phi,beta,0.3928314508011941
14.0,18.0,phi,delta,-0.0428618876863792
14.0,18.0,c,beta,0.0
14.0,18.0,c,delta,0.0
14.0,18.0,beta,delta,-0.02825128670485565
14.0,19.0,rho,k,0.0
14.0,19.0,rho,pi,-0.035451775415604944
14.0,19.0,rho,lnV0,0.0007536969271252806
14.0,19.0,rho,phi,-0.003714521163055483
14.0,19.0,rho,c,0.0
14.0,19.0,rho,beta,-0.00076405871837824
14.0,19.0,rho,delta,-8.93123108086915e-05
14.0,19.0,k,pi,0.0
14.0,19.0,k,lnV0,0.0
14.0,19.0,k,phi,0.0
14.0,19.0,k,c,0.0
14.0,19.0,k,beta,0.0
14.0,19.0,k,delta,0.0
14.0,19.0,pi,lnV0,-1.8301400696286976
14.0,19.0,pi,phi,10.552245076875007
14.0,19.0,pi,c,0.0
14.0,19.0,pi,beta,2.5598876173877345
14.0,19.0,pi,delta,-0.004380926593322383
14.0,19.0,lnV0,phi,-0.183553885990878
14.0,19.0,lnV0,c,0.0
14.0,19.0,lnV0,beta,-0.034080236314766255
14.0,19.0,lnV0,delta,-0.006860924564182664
14.0,19.0,phi,c,0.0
14.0,19.0,phi,beta,0.3928314508011941
14.0,19.0,phi,delta,-0.0428618876863792
14.0,19.0,c,beta,0.0
14.0,19.0,c,delta,0.0
14.0,19.0,beta,delta,-0.02825128670485565
14.0,20.0,rho,k,0.0
14.0,20.0,rho,pi,-0.035451775415604944
14.0,20.0,rho,lnV0,0.0007536969271252806
14.0,20.0,rho,phi,-0.003714521163055483
14.0,20.0,rho,c,0.0
14.0,20.0,rho,beta,-0.00076405871837824
14.0,20.0,rho,delta,-8.93123108086915e-05
14.0,20.0,k,pi,0.0
14.0,20.0,k,lnV0,0.0
14.0,20.0,k,phi,0.0
14.0,20.0,k,c,0.0
14.0,20.0,k,beta,0.0
14.0,20.0,k,delta,0.0
14.0,20.0,pi,lnV0,-1.8301400696286976
14.0,20.0,pi,phi,10.552245076875007
14.0,20.0,pi,c,0.0
14.0,20.0,pi,beta,2.5598876173877345
14.0,20.0,pi,delta,-0.004380926593322383
14.0,20.0,lnV0,phi,-0.183553885990878
14.0,20.0,lnV0,c,0.0
14.0,20.0,lnV0,beta,-0.034080236314766255
14.0,20.0,lnV0,delta,-0.006860924564182664
14.0,20.0,phi,c,0.0
14.0,20.0,phi,beta,0.3928314508011941
14.0,20.0,phi,delta,-0.0428618876863792
14.0,20.0,c,beta,0.0
14.0,20.0,c,delta,0.0
14.0,20.0,beta,delta,-0.02825128670485565
14.0,21.0,rho,k,0.0
14.0,21.0,rho,pi,-0.035451775415604944
14.0,21.0,rho,lnV0,0.0007536969271252806
14.0,21.0,rho,phi,-0.003714521163055483
14.0,21.0,rho,c,0.0
14.0,21.0,rho,beta,-0.00076405871837824
14.0,21.0,rho,delta,-8.93123108086915e-05
14.0,21.0,k,pi,0.0
14.0,21.0,k,lnV0,0.0
14.0,21.0,k,phi,0.0
14.0,21.0,k,c,0.0
14.0,21.0,k,beta,0.0
14.0,21.0,k,delta,0.0
14.0,21.0,pi,lnV0,-1.8301400696286976
14.0,21.0,pi,phi,10.552245076875007
14.0,21.0,pi,c,0.0
14.0,21.0,pi,beta,2.5598876173877345
14.0,21.0,pi,delta,-0.004380926593322383
14.0,21.0,lnV0,phi,-0.183553885990878
14.0,21.0,lnV0,c,0.0
14.0,21.0,lnV0,beta,-0.034080236314766255
14.0,21.0,lnV0,delta,-0.006860924564182664
14.0,21.0,phi,c,0.0
14.0,21.0,phi,beta,0.3928314508011941
14.0,21.0,phi,delta,-0.0428618876863792
14.0,21.0,c,beta,0.0
14.0,21.0,c,delta,0.0
14.0,21.0,beta,delta,-0.02825128670485565
