unit,time,prob,ymin,ymax
V,0.0,95,77.0,117.00000000000001
V,0.0,87,77.0,117.00000000000001
V,0.0,75,77.0,117.00000000000001
V,0.0,62,77.0,117.00000000000001
V,0.0,50,77.0,117.00000000000001
V,0.0,37,77.0,77.0
V,0.0,25,77.0,77.0
V,0.0,12,77.0,77.0
V,0.0,0,77.0,77.0
V,1.0,95,488.16733426325595,1860.108100467446
V,1.0,87,488.16733426325595,1860.108100467446
V,1.0,75,488.16733426325595,1860.108100467446
V,1.0,62,488.16733426325595,1860.108100467446
V,1.0,50,488.16733426325595,1860.108100467446
V,1.0,37,1860.108100467446,1860.108100467446
V,1.0,25,1860.108100467446,1860.108100467446
V,1.0,12,1860.108100467446,1860.108100467446
V,1.0,0,1860.108100467446,1860.108100467446
V,2.0,95,2647552.6604868174,3892087.1701092445
V,2.0,87,2763903.5456049573,3892087.1701092445
V,2.0,75,2763903.5456049573,3892087.1701092445
V,2.0,62,2763903.5456049573,3892087.1701092445
V,2.0,50,2763903.5456049573,3892087.1701092445
V,2.0,37,2847118.974918347,3021733.1750074304
V,2.0,25,2847118.974918347,2847118.974918347
V,2.0,12,2847118.974918347,2847118.974918347
V,2.0,0,2847118.974918347,2847118.974918347
V,3.0,95,380915373.49536926,419037184.4913223
V,3.0,87,380915373.49536926,417906998.080372
V,3.0,75,390482320.69146,417906998.080372
V,3.0,62,390482320.69146,417906998.080372
V,3.0,50,390482320.69146,417906998.080372
V,3.0,37,390482320.69146,409986868.51437354
V,3.0,25,409986868.51437354,409986868.51437354
V,3.0,12,409986868.51437354,409986868.51437354
V,3.0,0,409986868.51437354,409986868.51437354
V,4.0,95,67390019.88785276,81502732.32635541
V,4.0,87,75378614.54582137,81502732.32635541
V,4.0,75,75378614.54582137,81502732.32635541
V,4.0,62,75378614.54582137,81502732.32635541
V,4.0,50,75378614.54582137,81502732.32635541
V,4.0,37,75378614.54582137,77314457.293707
V,4.0,25,75378614.54582137,77314457.293707
V,4.0,12,77314457.293707,77314457.293707
V,4.0,0,77314457.293707,77314457.293707
V,5.0,95,12426602.374102315,15765203.246563626
V,5.0,87,12426602.374102315,15765203.246563626
V,5.0,75,14499947.213073127,15765203.246563626
V,5.0,62,14499947.213073127,15765203.246563626
V,5.0,50,14499947.213073127,15765203.246563626
V,5.0,37,14499947.213073127,14989847.865568066
V,5.0,25,14499947.213073127,14989847.865568066
V,5.0,12,14989847.865568066,14989847.865568066
V,5.0,0,14989847.865568066,14989847.865568066
V,6.0,95,2946002.1574316984,3799072.8491612836
V,6.0,87,2946002.1574316984,3799072.8491612836
V,6.0,75,3541300.410716008,3799072.8491612836
V,6.0,62,3541300.410716008,3799072.8491612836
V,6.0,50,3541300.410716008,3799072.8491612836
V,6.0,37,3541300.410716008,3682138.1371737015
V,6.0,25,3541300.410716008,3682138.1371737015
V,6.0,12,3682138.1371737015,3682138.1371737015
V,6.0,0,3682138.1371737015,3682138.1371737015
V,7.0,95,659311.4778022647,892185.6764622902
V,7.0,87,659311.4778022647,892185.6764622902
V,7.0,75,819923.1476110233,892185.6764622902
V,7.0,62,819923.1476110233,892185.6764622902
V,7.0,50,819923.1476110233,892185.6764622902
V,7.0,37,819923.1476110233,857729.2231404108
V,7.0,25,819923.1476110233,857729.2231404108
V,7.0,12,857729.2231404108,857729.2231404108
V,7.0,0,857729.2231404108,857729.2231404108
V,8.0,95,142991.8490168213,203217.9942193226
V,8.0,87,142991.8490168213,203217.9942193226
V,8.0,75,184404.76402755294,203217.9942193226
V,8.0,62,184404.76402755294,203217.9942193226
V,8.0,50,184404.76402755294,203217.9942193226
V,8.0,37,184404.76402755294,194272.08605667047
V,8.0,25,184404.76402755294,194272.08605667047
V,8.0,12,194272.08605667047,194272.08605667047
V,8.0,0,194272.08605667047,194272.08605667047
V,9.0,95,31594.22841619379,46645.238769278105
V,9.0,87,31594.22841619379,46645.238769278105
V,9.0,75,42010.53036671099,46645.238769278105
V,9.0,62,42010.53036671099,46645.238769278105
V,9.0,50,42010.53036671099,46645.238769278105
V,9.0,37,42010.53036671099,44614.3578995852
V,9.0,25,42010.53036671099,44614.3578995852
V,9.0,12,44614.3578995852,44614.3578995852
