fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,0.012003546114361888,0.012003546114361888,model,rho
21.0,0.0,12,0.010561863606806592,0.01343815814316158,model,rho
21.0,0.0,25,0.009002276076549805,0.014998388275117477,model,rho
21.0,0.0,37,0.007557481232564353,0.01644247202552904,model,rho
21.0,0.0,50,0.006001046865161435,0.017999687376762656,model,rho
21.0,0.0,62,0.00455572172977711,0.01943707973418253,model,rho
21.0,0.0,75,0.003000155526789606,0.020999874776726712,model,rho
21.0,0.0,87,0.0015584257585419526,0.022438547916383854,model,rho
21.0,0.0,95,0.0006018454615505953,0.02339586061927426,model,rho
21.0,1.0,0,0.012451602836187507,0.012451602836187507,model,rho
21.0,1.0,12,0.010971629892758154,0.013685776755566911,model,rho
21.0,1.0,25,0.009445776429497035,0.01531965081179415,model,rho
21.0,1.0,37,0.00786884377658304,0.016813487263947328,model,rho
21.0,1.0,50,0.006201236410899329,0.018259659816461556,model,rho
21.0,1.0,62,0.004864833185732183,0.01972898697319895,model,rho
21.0,1.0,75,0.003164483798830216,0.021291107924423125,model,rho
21.0,1.0,87,0.0013777033199192318,0.022508208773150257,model,rho
21.0,1.0,95,0.0001563144575321351,0.02408142479736965,model,rho
21.0,2.0,0,0.012571826502840614,0.012571826502840614,model,rho
21.0,2.0,12,0.011082972387029892,0.013842283834028888,model,rho
21.0,2.0,25,0.00961148523741123,0.015410792102003955,model,rho
21.0,2.0,37,0.00808100030519489,0.016883235063596236,model,rho
21.0,2.0,50,0.006296070911941155,0.018332113092179702,model,rho
21.0,2.0,62,0.0048948854873776156,0.01976135919715188,model,rho
21.0,2.0,75,0.0032389170826867776,0.02130150692070405,model,rho
21.0,2.0,87,0.0014243486255033767,0.022515212657238878,model,rho
21.0,2.0,95,0.0001,0.024063457417682593,model,rho
21.0,3.0,0,0.012110721873919606,0.012110721873919606,model,rho
21.0,3.0,12,0.010682269527257907,0.013429712274453534,model,rho
21.0,3.0,25,0.009176328538726387,0.01491504283390479,model,rho
21.0,3.0,37,0.007614832408393955,0.016598122051436827,model,rho
21.0,3.0,50,0.006072951686916286,0.018122469218790373,model,rho
21.0,3.0,62,0.004751663255308531,0.01961122704835179,model,rho
21.0,3.0,75,0.0030332984468057615,0.02128811823919984,model,rho
21.0,3.0,87,0.0013669416551548134,0.02257474764913026,model,rho
21.0,3.0,95,0.0001,0.024092734264700197,model,rho
21.0,4.0,0,0.011578315980107834,0.011578315980107834,model,rho
21.0,4.0,12,0.010158617604162288,0.013066602510272585,model,rho
21.0,4.0,25,0.00866303115305041,0.014551256626528099,model,rho
21.0,4.0,37,0.007237956649742211,0.016177739381794256,model,rho
21.0,4.0,50,0.0058099890363645205,0.018029422779516944,model,rho
21.0,4.0,62,0.004532102610943292,0.01951632842878569,model,rho
21.0,4.0,75,0.0029559971076843572,0.02130150692070405,model,rho
21.0,4.0,87,0.0013031200737495107,0.022648825289922726,model,rho
21.0,4.0,95,0.0001,0.0243036582670314,model,rho
21.0,5.0,0,0.011488987791760486,0.011488987791760486,model,rho
21.0,5.0,12,0.01000441203879199,0.012980876036943893,model,rho
21.0,5.0,25,0.008598154345207854,0.014502187280618176,model,rho
21.0,5.0,37,0.00720120369757316,0.016017442307426435,model,rho
21.0,5.0,50,0.005799386967521307,0.01780960527183714,model,rho
21.0,5.0,62,0.004535170024149944,0.01938515562050604,model,rho
21.0,5.0,75,0.0029559971076843572,0.02130150692070405,model,rho
21.0,5.0,87,0.0013031200737495107,0.022673754494343237,model,rho
21.0,5.0,95,0.0001,0.024438654968484748,model,rho
21.0,6.0,0,0.01142674723670587,0.01142674723670587,model,rho
21.0,6.0,12,0.009875512260067188,0.012943484040780188,model,rho
21.0,6.0,25,0.008444084822311326,0.01448376251332372,model,rho
21.0,6.0,37,0.00698825113778215,0.015842353247395073,model,rho
21.0,6.0,50,0.005776658774089873,0.017603915090624013,model,rho
21.0,6.0,62,0.00451481300702991,0.01932652341774037,model,rho
21.0,6.0,75,0.002952893550977803,0.021330005915950866,model,rho
21.0,6.0,87,0.0013031200737495107,0.022685649864385916,model,rho
21.0,6.0,95,0.0001,0.024499918615702613,model,rho
21.0,7.0,0,0.01119317317750561,0.01119317317750561,model,rho
21.0,7.0,12,0.009656531403810795,0.012739492957186018,model,rho
21.0,7.0,25,0.008155812030672515,0.014149002958341195,model,rho
21.0,7.0,37,0.0066765084996305455,0.01518083777880868,model,rho
