fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,379.9942988300086,379.9942988300086,model,pi
21.0,0.0,12,376.39555105897915,383.60589609768505,model,pi
21.0,0.0,25,372.4938055329318,387.4990583209998,model,pi
21.0,0.0,37,368.8937345771309,391.1040019210365,model,pi
21.0,0.0,50,365.0074269750297,395.0086501109406,model,pi
21.0,0.0,62,361.40509662048447,398.5992668943119,model,pi
21.0,0.0,75,357.5001821419246,402.4935915981655,model,pi
21.0,0.0,87,353.8990911502476,406.0870186632269,model,pi
21.0,0.0,95,351.50644837024095,408.5088894724963,model,pi
21.0,1.0,0,378.9360514543981,378.9360514543981,model,pi
21.0,1.0,12,375.64298644884104,382.3912837158415,model,pi
21.0,1.0,25,371.7620978946991,386.284367904434,model,pi
21.0,1.0,37,368.56028475073845,390.8808505973113,model,pi
21.0,1.0,50,364.64171241799903,394.98842596125877,model,pi
21.0,1.0,62,361.48305393068546,398.5940165421261,model,pi
21.0,1.0,75,357.5827659043565,401.65399082092483,model,pi
21.0,1.0,87,354.01278669387085,406.33054688789065,model,pi
21.0,1.0,95,351.14554613149096,408.72099970691147,model,pi
21.0,2.0,0,378.4991881501134,378.4991881501134,model,pi
21.0,2.0,12,375.2873851094456,381.8278984985602,model,pi
21.0,2.0,25,371.5612403422107,385.9453332965562,model,pi
21.0,2.0,37,368.1169537159594,390.1672709738953,model,pi
21.0,2.0,50,364.09242634050315,394.4656465679704,model,pi
21.0,2.0,62,361.14855820737915,398.05102689052103,model,pi
21.0,2.0,75,357.45917884951217,401.343922056033,model,pi
21.0,2.0,87,353.79181481341857,405.86944215915537,model,pi
21.0,2.0,95,351.14554613149096,408.60431826541543,model,pi
21.0,3.0,0,378.3089812744659,378.3089812744659,model,pi
21.0,3.0,12,374.7978450141549,381.7864194007424,model,pi
21.0,3.0,25,370.2046908919493,385.85664123989204,model,pi
21.0,3.0,37,366.67651168275995,390.1512112666625,model,pi
21.0,3.0,50,363.8974395071957,394.1352635653035,model,pi
21.0,3.0,62,360.78262006715994,397.62293891707554,model,pi
21.0,3.0,75,356.9320364435506,400.0,model,pi
21.0,3.0,87,353.22706522655056,400.0,model,pi
21.0,3.0,95,350.2081265895931,400.0,model,pi
21.0,4.0,0,378.6127863234919,378.6127863234919,model,pi
21.0,4.0,12,375.0434960559535,382.2195827139848,model,pi
21.0,4.0,25,370.6701166751103,386.65017621283874,model,pi
21.0,4.0,37,366.9017416146953,390.6925409806279,model,pi
21.0,4.0,50,364.1244052643609,394.4017218058943,model,pi
21.0,4.0,62,361.1660807129717,397.89911651539387,model,pi
21.0,4.0,75,357.4452620238654,400.0,model,pi
21.0,4.0,87,353.5397658928732,400.0,model,pi
21.0,4.0,95,350.4498278341761,400.0,model,pi
21.0,5.0,0,380.27088608092134,380.27088608092134,model,pi
21.0,5.0,12,376.61776403714725,385.1182364667491,model,pi
21.0,5.0,25,371.004553472722,389.24111350049424,model,pi
21.0,5.0,37,367.22050842751605,392.4576187376469,model,pi
21.0,5.0,50,364.4530860270315,396.16972416247535,model,pi
21.0,5.0,62,362.0012730386921,399.06611933880595,model,pi
21.0,5.0,75,358.5781429206736,400.0,model,pi
21.0,5.0,87,354.45323577793084,400.0,model,pi
21.0,5.0,95,351.29421248281795,400.0,model,pi
21.0,6.0,0,380.873297427749,380.873297427749,model,pi
21.0,6.0,12,376.68604037571254,385.73873627320427,model,pi
21.0,6.0,25,371.004553472722,390.1292474222306,model,pi
21.0,6.0,37,367.22050842751605,392.8499574347341,model,pi
21.0,6.0,50,364.4530860270315,396.5955310336837,model,pi
21.0,6.0,62,362.09595077159514,399.57908609010354,model,pi
21.0,6.0,75,358.6901763293253,400.0,model,pi
21.0,6.0,87,354.82337753554657,400.0,model,pi
21.0,6.0,95,351.38394294450643,400.0,model,pi
21.0,7.0,0,381.63099429251173,381.63099429251173,model,pi
21.0,7.0,12,377.1462990649934,386.9529407275034,model,pi
21.0,7.0,25,371.1674783962329,390.83516396279293,model,pi
21.0,7.0,37,367.5038625177518,393.5646166443383,model,pi
21.0,7.0,50,364.6105153486249,397.47847646859174,model,pi
21.0,7.0,62,362.3010165554807,400.0,model,pi
21.0,7.0,75,358.9634916623347,400.0,model,pi
21.0,7.0,87,354.91515640188607,400.0,model,pi
21.0,7.0,95,351.51656885322126,400.0,model,pi
21.0,8.0,0,379.88122191073336,379.88122191073336,model,pi
21.0,8.0,12,376.1677930336947,385.1182364667491,model,pi
21.0,8.0,25,370.8050184513424,389.3204441464145,model,pi
21.0,8.0,37,367.0074097790977,392.4018983644485,model,pi
21.0,8.0,50,364.26976720234427,396.24376065343836,model,pi
21.0,8.0,62,361.49496112354234,399.12398195172494,model,pi
21.0,8.0,75,358.37681799134225,400.0,model,pi
21.0,8.0,87,354.26520978621147,400.0,model,pi
21.0,8.0,95,351.51656885322126,400.0,model,pi
21.0,9.0,0,380.81911399862963,380.81911399862963,model,pi
21.0,9.0,12,376.4644655639603,385.84083473768237,model,pi
