unit,time,prob,ymin,ymax
E,0.0,95,1.0,1.0
E,0.0,87,1.0,1.0
E,0.0,75,1.0,1.0
E,0.0,62,1.0,1.0
E,0.0,50,1.0,1.0
E,0.0,37,1.0,1.0
E,0.0,25,1.0,1.0
E,0.0,12,1.0,1.0
E,0.0,0,1.0,1.0
E,1.0,95,48.99999999999999,373.83391421424625
E,1.0,87,55.00000000000001,373.83391421424625
E,1.0,75,55.00000000000001,373.83391421424625
E,1.0,62,55.00000000000001,373.83391421424625
E,1.0,50,55.00000000000001,373.83391421424625
E,1.0,37,55.00000000000001,373.83391421424625
E,1.0,25,203.87377555427472,203.87377555427472
E,1.0,12,203.87377555427472,203.87377555427472
E,1.0,0,203.87377555427472,203.87377555427472
E,2.0,95,3654.9215731285512,92041.25475372304
E,2.0,87,3654.9215731285512,92041.25475372304
E,2.0,75,3654.9215731285512,92041.25475372304
E,2.0,62,3654.9215731285512,92041.25475372304
E,2.0,50,3654.9215731285512,92041.25475372304
E,2.0,37,3654.9215731285512,18083.91320486806
E,2.0,25,12850.430003411826,18083.91320486806
E,2.0,12,18083.91320486806,18083.91320486806
E,2.0,0,18083.91320486806,18083.91320486806
E,3.0,95,998.3931879292101,2187.413878215271
E,3.0,87,998.3931879292101,2187.413878215271
E,3.0,75,998.3931879292101,2187.413878215271
E,3.0,62,998.3931879292101,2187.413878215271
E,3.0,50,998.3931879292101,2187.413878215271
E,3.0,37,998.3931879292101,1579.145237949598
E,3.0,25,1367.192432748876,1579.145237949598
E,3.0,12,1579.145237949598,1579.145237949598
E,3.0,0,1579.145237949598,1579.145237949598
E,4.0,95,30115.770438021842,307104.840702699
E,4.0,87,30115.770438021842,230832.00995334788
E,4.0,75,30115.770438021842,163059.28915258066
E,4.0,62,30115.770438021842,163059.28915258066
E,4.0,50,30115.770438021842,163059.28915258066
E,4.0,37,142121.04197197736,163059.28915258066
E,4.0,25,142121.04197197736,163059.28915258066
E,4.0,12,142121.04197197736,142121.04197197736
E,4.0,0,142121.04197197736,142121.04197197736
E,4.0,95,30115.770438021842,307104.840702699
E,4.0,87,30115.770438021842,230832.00995334788
E,4.0,75,30115.770438021842,163059.28915258066
E,4.0,62,30115.770438021842,163059.28915258066
E,4.0,50,30115.770438021842,163059.28915258066
E,4.0,37,142121.04197197736,163059.28915258066
E,4.0,25,142121.04197197736,163059.28915258066
E,4.0,12,142121.04197197736,142121.04197197736
E,4.0,0,142121.04197197736,142121.04197197736
E,5.0,95,17462.441477338216,99107.15181594729
E,5.0,87,17462.441477338216,99107.15181594729
E,5.0,75,17462.441477338216,34130.968895040016
E,5.0,62,17462.441477338216,34130.968895040016
E,5.0,50,17462.441477338216,34130.968895040016
E,5.0,37,27914.995946367857,34130.968895040016
E,5.0,25,27914.995946367857,34130.968895040016
E,5.0,12,27914.995946367857,27914.995946367857
E,5.0,0,27914.995946367857,27914.995946367857
