unit,time,prob,ymin,ymax
I,0.0,95,1.0,1.0
I,0.0,87,1.0,1.0
I,0.0,75,1.0,1.0
I,0.0,62,1.0,1.0
I,0.0,50,1.0,1.0
I,0.0,37,1.0,1.0
I,0.0,25,1.0,1.0
I,0.0,12,1.0,1.0
I,0.0,0,1.0,1.0
I,1.0,95,35.0,197.0714077359049
I,1.0,87,35.0,197.0714077359049
I,1.0,75,35.0,197.0714077359049
I,1.0,62,35.0,197.0714077359049
I,1.0,50,35.0,197.0714077359049
I,1.0,37,36.0,197.0714077359049
I,1.0,25,106.03004423351167,106.03004423351167
I,1.0,12,106.03004423351167,106.03004423351167
I,1.0,0,106.03004423351167,106.03004423351167
I,2.0,95,54541.77337073448,86261.97740424653
I,2.0,87,54541.77337073448,86261.97740424653
I,2.0,75,54541.77337073448,86261.97740424653
I,2.0,62,54541.77337073448,86261.97740424653
I,2.0,50,54541.77337073448,86261.97740424653
I,2.0,37,54541.77337073448,86261.97740424653
I,2.0,25,74687.5687507811,83668.88934948182
I,2.0,12,83668.88934948182,83668.88934948182
I,2.0,0,83668.88934948182,83668.88934948182
I,3.0,95,1645221.5539617122,16777418.79078764
I,3.0,87,1645221.5539617122,12610562.642189974
I,3.0,75,1645221.5539617122,8908076.303766787
I,3.0,62,1645221.5539617122,8908076.303766787
I,3.0,50,1645221.5539617122,8908076.303766787
I,3.0,37,7764196.49445795,8908076.303766787
I,3.0,25,7764196.49445795,8908076.303766787
I,3.0,12,7764196.49445795,7764196.49445795
I,3.0,0,7764196.49445795,7764196.49445795
I,4.0,95,953981.352682542,5413759.864923744
I,4.0,87,953981.352682542,5413759.864923744
I,4.0,75,953981.352682542,1864459.6255997194
I,4.0,62,953981.352682542,1864459.6255997194
I,4.0,50,953981.352682542,1864459.6255997194
I,4.0,37,1524827.4171090038,1864459.6255997194
I,4.0,25,1524827.4171090038,1864459.6255997194
I,4.0,12,1524827.4171090038,1524827.4171090038
I,4.0,0,1524827.4171090038,1524827.4171090038
I,4.0,95,953981.352682542,5413759.864923744
I,4.0,87,953981.352682542,5413759.864923744
I,4.0,75,953981.352682542,1864459.6255997194
I,4.0,62,953981.352682542,1864459.6255997194
I,4.0,50,953981.352682542,1864459.6255997194
I,4.0,37,1524827.4171090038,1864459.6255997194
I,4.0,25,1524827.4171090038,1864459.6255997194
I,4.0,12,1524827.4171090038,1524827.4171090038
I,4.0,0,1524827.4171090038,1524827.4171090038
I,5.0,95,91399.3810917221,1709624.1412712845
I,5.0,87,91399.3810917221,1709624.1412712845
I,5.0,75,91399.3810917221,385929.8000382896
I,5.0,62,91399.3810917221,385929.8000382896
I,5.0,50,91399.3810917221,385929.8000382896
I,5.0,37,289763.0409923759,385929.8000382896
I,5.0,25,289763.0409923759,385929.8000382896
I,5.0,12,289763.0409923759,289763.0409923759
I,5.0,0,289763.0409923759,289763.0409923759
