unit,time,prob,ymin,ymax
R,0.0,95,1.0,1.0
R,0.0,87,1.0,1.0
R,0.0,75,1.0,1.0
R,0.0,62,1.0,1.0
R,0.0,50,1.0,1.0
R,0.0,37,1.0,1.0
R,0.0,25,1.0,1.0
R,0.0,12,1.0,1.0
R,0.0,0,1.0,1.0
R,1.0,95,20596.33377828966,263333.09719654714
R,1.0,87,20596.33377828966,263333.09719654714
R,1.0,75,20596.33377828966,263333.09719654714
R,1.0,62,20596.33377828966,263333.09719654714
R,1.0,50,20596.33377828966,263333.09719654714
R,1.0,37,47560.39645840305,263333.09719654714
R,1.0,25,100999.16537540805,100999.16537540805
R,1.0,12,100999.16537540805,100999.16537540805
R,1.0,0,100999.16537540805,100999.16537540805
R,2.0,95,53647985.98074184,79449429.72577982
R,2.0,87,53647985.98074184,79449429.72577982
R,2.0,75,53647985.98074184,79449429.72577982
R,2.0,62,53647985.98074184,79449429.72577982
R,2.0,50,53647985.98074184,79449429.72577982
R,2.0,37,79142394.01949932,79449429.72577982
R,2.0,25,79142394.01949932,79263237.12097663
R,2.0,12,79142394.01949932,79142394.01949932
R,2.0,0,79142394.01949932,79142394.01949932
R,3.0,95,188762.0547725383,26118959.964371447
R,3.0,87,188762.0547725383,26118959.964371447
R,3.0,75,188762.0547725383,26118959.964371447
R,3.0,62,188762.0547725383,26118959.964371447
R,3.0,50,188762.0547725383,26118959.964371447
R,3.0,37,188762.0547725383,552210.6769525734
R,3.0,25,514020.14942671417,514020.14942671417
R,3.0,12,514020.14942671417,514020.14942671417
R,3.0,0,514020.14942671417,514020.14942671417
R,4.0,95,1065.39318792921,7371.485265741826
R,4.0,87,1065.39318792921,7371.485265741826
R,4.0,75,1065.39318792921,7371.485265741826
R,4.0,62,1065.39318792921,7371.485265741826
R,4.0,50,1065.39318792921,7371.485265741826
R,4.0,37,1065.39318792921,1667.145237949598
R,4.0,25,1463.1924327488757,1667.145237949598
R,4.0,12,1667.145237949598,1667.145237949598
R,4.0,0,1667.145237949598,1667.145237949598
R,4.0,95,1065.39318792921,7371.485265741826
R,4.0,87,1065.39318792921,7371.485265741826
R,4.0,75,1065.39318792921,7371.485265741826
R,4.0,62,1065.39318792921,7371.485265741826
R,4.0,50,1065.39318792921,7371.485265741826
R,4.0,37,1065.39318792921,1667.145237949598
R,4.0,25,1463.1924327488757,1667.145237949598
R,4.0,12,1667.145237949598,1667.145237949598
R,4.0,0,1667.145237949598,1667.145237949598
R,5.0,95,30114.527854089425,306998.46408789593
R,5.0,87,30114.527854089425,230831.00995334794
R,5.0,75,30114.527854089425,162984.28915258072
R,5.0,62,30114.527854089425,162984.28915258072
R,5.0,50,30114.527854089425,162984.28915258072
R,5.0,37,142013.98442815425,162984.28915258072
R,5.0,25,142013.98442815425,162984.28915258072
R,5.0,12,142013.98442815425,142013.98442815425
R,5.0,0,142013.98442815425,142013.98442815425
