unit,time,prob,ymin,ymax
T,0.0,95,80000000.00000003,80000000.00000003
T,0.0,87,80000000.00000003,80000000.00000003
T,0.0,75,80000000.00000003,80000000.00000003
T,0.0,62,80000000.00000003,80000000.00000003
T,0.0,50,80000000.00000003,80000000.00000003
T,0.0,37,80000000.00000003,80000000.00000003
T,0.0,25,80000000.00000003,80000000.00000003
T,0.0,12,80000000.00000003,80000000.00000003
T,0.0,0,80000000.00000003,80000000.00000003
T,1.0,95,79736017.31211175,79979285.95016964
T,1.0,87,79736017.31211175,79979285.95016964
T,1.0,75,79736017.31211175,79979285.95016964
T,1.0,62,79736017.31211175,79979285.95016964
T,1.0,50,79736017.31211175,79979285.95016964
T,1.0,37,79736017.31211175,79952347.60354178
T,1.0,25,79898636.13640004,79898636.13640004
T,1.0,12,79898636.13640004,79898636.13640004
T,1.0,0,79898636.13640004,79898636.13640004
T,2.0,95,185178.3540798756,26035841.076808244
T,2.0,87,185178.3540798756,26035841.076808244
T,2.0,75,185178.3540798756,26035841.076808244
T,2.0,62,185178.3540798756,26035841.076808244
T,2.0,50,185178.3540798756,26035841.076808244
T,2.0,37,185178.3540798756,539461.3275612851
T,2.0,25,496038.7788247175,496038.7788247175
T,2.0,12,496038.7788247175,496038.7788247175
T,2.0,0,496038.7788247175,496038.7788247175
T,3.0,95,70.00000000000001,5287.928073308848
T,3.0,87,70.00000000000001,5287.928073308848
T,3.0,75,70.00000000000001,5287.928073308848
T,3.0,62,70.00000000000001,5287.928073308848
T,3.0,50,70.00000000000001,5287.928073308848
T,3.0,37,70.00000000000001,98.0
T,3.0,25,95.00000000000001,95.00000000000001
T,3.0,12,95.00000000000001,95.00000000000001
T,3.0,0,95.00000000000001,95.00000000000001
T,4.0,95,1.0,100.0
T,4.0,87,1.0,100.0
T,4.0,75,1.0,100.0
T,4.0,62,1.0,100.0
T,4.0,50,1.0,100.0
T,4.0,37,1.0,1.0
T,4.0,25,1.0,1.0
T,4.0,12,1.0,1.0
T,4.0,0,1.0,1.0
T,4.0,95,1.0,100.0
T,4.0,87,1.0,100.0
T,4.0,75,1.0,100.0
T,4.0,62,1.0,100.0
T,4.0,50,1.0,100.0
T,4.0,37,1.0,1.0
T,4.0,25,1.0,1.0
T,4.0,12,1.0,1.0
T,4.0,0,1.0,1.0
T,5.0,95,64.99999999999999,100.0
T,5.0,87,64.99999999999999,100.0
T,5.0,75,64.99999999999999,100.0
T,5.0,62,64.99999999999999,100.0
T,5.0,50,64.99999999999999,100.0
T,5.0,37,64.99999999999999,100.0
T,5.0,25,64.99999999999999,100.0
T,5.0,12,100.0,100.0
T,5.0,0,100.0,100.0
