unit,time,prob,ymin,ymax
V,0.0,95,26.0,117.00000000000001
V,0.0,87,26.0,117.00000000000001
V,0.0,75,46.0,117.00000000000001
V,0.0,62,46.0,117.00000000000001
V,0.0,50,46.0,117.00000000000001
V,0.0,37,46.0,77.0
V,0.0,25,77.0,77.0
V,0.0,12,77.0,77.0
V,0.0,0,77.0,77.0
V,1.0,95,726.879700523647,5056.752694344789
V,1.0,87,981.2635169703254,5056.752694344789
V,1.0,75,981.2635169703254,5056.752694344789
V,1.0,62,981.2635169703254,5056.752694344789
V,1.0,50,981.2635169703254,5056.752694344789
V,1.0,37,981.2635169703254,5056.752694344789
V,1.0,25,2636.3399750262156,2636.3399750262156
V,1.0,12,2636.3399750262156,2636.3399750262156
V,1.0,0,2636.3399750262156,2636.3399750262156
V,2.0,95,2696546.277729024,3701742.4125568694
V,2.0,87,2696546.277729024,3701742.4125568694
V,2.0,75,2696546.277729024,3701742.4125568694
V,2.0,62,2696546.277729024,3701742.4125568694
V,2.0,50,2696546.277729024,3701742.4125568694
V,2.0,37,2696546.277729024,3701742.4125568694
V,2.0,25,2809400.551993132,2890806.614366234
V,2.0,12,2890806.614366234,2890806.614366234
V,2.0,0,2890806.614366234,2890806.614366234
V,3.0,95,97798414.61235046,700155879.618525
V,3.0,87,97798414.61235046,536670586.83968914
V,3.0,75,97798414.61235046,458272018.33371586
V,3.0,62,97798414.61235046,458272018.33371586
V,3.0,50,97798414.61235046,458272018.33371586
V,3.0,37,379588078.25380707,458272018.33371586
V,3.0,25,379588078.25380707,458272018.33371586
V,3.0,12,379588078.25380707,379588078.25380707
V,3.0,0,379588078.25380707,379588078.25380707
V,4.0,95,55577292.12834565,217493184.13248423
V,4.0,87,55577292.12834565,217493184.13248423
V,4.0,75,55577292.12834565,90401285.04134086
V,4.0,62,55577292.12834565,90401285.04134086
V,4.0,50,55577292.12834565,90401285.04134086
V,4.0,37,69985185.62235995,90401285.04134086
V,4.0,25,69985185.62235995,90401285.04134086
V,4.0,12,69985185.62235995,69985185.62235995
V,4.0,0,69985185.62235995,69985185.62235995
V,4.0,95,55577292.12834565,217493184.13248423
V,4.0,87,55577292.12834565,217493184.13248423
V,4.0,75,55577292.12834565,90401285.04134086
V,4.0,62,55577292.12834565,90401285.04134086
V,4.0,50,55577292.12834565,90401285.04134086
V,4.0,37,69985185.62235995,90401285.04134086
V,4.0,25,69985185.62235995,90401285.04134086
V,4.0,12,69985185.62235995,69985185.62235995
V,4.0,0,69985185.62235995,69985185.62235995
V,5.0,95,4756035.744627715,68623846.53685908
V,5.0,87,4756035.744627715,68623846.53685908
V,5.0,75,4756035.744627715,18699372.367032245
V,5.0,62,4756035.744627715,18699372.367032245
V,5.0,50,4756035.744627715,18699372.367032245
V,5.0,37,13269875.563033322,18699372.367032245
V,5.0,25,13269875.563033322,18699372.367032245
V,5.0,12,13269875.563033322,13269875.563033322
V,5.0,0,13269875.563033322,13269875.563033322
