fs_time,time,prob,ymin,ymax,type,name
5.0,0.0,0,5.391791784065866,5.391791784065866,model,beta
5.0,0.0,12,4.953426673300174,5.830156894831557,model,beta
5.0,0.0,25,3.428978211336638,6.110853118548603,model,beta
5.0,0.0,37,3.428978211336638,6.110853118548603,model,beta
5.0,0.0,50,2.8884574800189986,7.372871372457395,model,beta
5.0,0.0,62,1.7416796445739262,8.399491560940048,model,beta
5.0,0.0,75,1.7416796445739262,8.399491560940048,model,beta
5.0,0.0,87,0.7252873265440309,9.375581719666528,model,beta
5.0,0.0,95,0.7252873265440309,9.375581719666528,model,beta
5.0,1.0,0,7.372871372457395,7.372871372457395,model,beta
5.0,1.0,12,7.372871372457395,7.372871372457395,model,beta
5.0,1.0,25,6.110853118548603,7.372871372457395,model,beta
5.0,1.0,37,6.110853118548603,8.399491560940048,model,beta
5.0,1.0,50,5.830156894831557,8.399491560940048,model,beta
5.0,1.0,62,5.830156894831557,8.399491560940048,model,beta
5.0,1.0,75,4.953426673300174,8.399491560940048,model,beta
5.0,1.0,87,4.953426673300174,8.399491560940048,model,beta
5.0,1.0,95,4.953426673300174,8.399491560940048,model,beta
5.0,2.0,0,7.372871372457395,7.372871372457395,model,beta
5.0,2.0,12,7.372871372457395,7.372871372457395,model,beta
5.0,2.0,25,6.110853118548603,7.372871372457395,model,beta
5.0,2.0,37,6.110853118548603,8.399491560940048,model,beta
5.0,2.0,50,5.830156894831557,8.399491560940048,model,beta
5.0,2.0,62,5.830156894831557,8.399491560940048,model,beta
5.0,2.0,75,4.953426673300174,8.399491560940048,model,beta
5.0,2.0,87,4.953426673300174,8.399491560940048,model,beta
5.0,2.0,95,4.953426673300174,8.399491560940048,model,beta
5.0,3.0,0,7.372871372457395,7.372871372457395,model,beta
5.0,3.0,12,7.372871372457395,7.372871372457395,model,beta
5.0,3.0,25,6.110853118548603,7.372871372457395,model,beta
5.0,3.0,37,5.830156894831557,8.399491560940048,model,beta
5.0,3.0,50,5.830156894831557,8.399491560940048,model,beta
5.0,3.0,62,4.953426673300174,8.399491560940048,model,beta
5.0,3.0,75,4.953426673300174,8.399491560940048,model,beta
5.0,3.0,87,4.953426673300174,8.399491560940048,model,beta
5.0,3.0,95,4.953426673300174,8.399491560940048,model,beta
5.0,4.0,0,7.372871372457395,7.372871372457395,model,beta
5.0,4.0,12,7.372871372457395,7.372871372457395,model,beta
5.0,4.0,25,7.372871372457395,7.372871372457395,model,beta
5.0,4.0,37,6.110853118548603,8.399491560940048,model,beta
5.0,4.0,50,4.953426673300174,8.399491560940048,model,beta
5.0,4.0,62,4.953426673300174,8.399491560940048,model,beta
5.0,4.0,75,4.953426673300174,8.399491560940048,model,beta
5.0,4.0,87,4.953426673300174,8.399491560940048,model,beta
5.0,4.0,95,4.953426673300174,8.399491560940048,model,beta
