fs_time,time,param1,param2,covar
4.0,4.0,k,delta,2.7221580016789843e-31
4.0,4.0,k,c,1.1152731773624983e-30
4.0,4.0,k,beta,1.0379359112475292e-31
4.0,4.0,k,lnV0,9.874271033109592e-32
4.0,4.0,k,phi,3.84412829635868e-31
4.0,4.0,k,pi,2.2675176075803988e-29
4.0,4.0,k,rho,1.043393983530589e-33
4.0,4.0,delta,c,1.0487354013442778e-30
4.0,4.0,delta,beta,-0.8887370982458372
4.0,4.0,delta,lnV0,-0.04233171553582848
4.0,4.0,delta,phi,-1.525600392362718
4.0,4.0,delta,pi,1.556193337136451
4.0,4.0,delta,rho,-0.002239135719328608
4.0,4.0,c,beta,4.151743644990117e-31
4.0,4.0,c,lnV0,3.949708413243837e-31
4.0,4.0,c,phi,1.537651318543472e-30
4.0,4.0,c,pi,9.070070430321595e-29
4.0,4.0,c,rho,4.173575934122356e-33
4.0,4.0,beta,lnV0,0.6028076259548165
4.0,4.0,beta,phi,4.499221862416094
4.0,4.0,beta,pi,10.515666180686875
4.0,4.0,beta,rho,0.005308702414644851
4.0,4.0,lnV0,phi,0.6989528623816272
4.0,4.0,lnV0,pi,0.9328911159739932
4.0,4.0,lnV0,rho,0.0032585125417011964
4.0,4.0,phi,pi,19.22553453504173
4.0,4.0,phi,rho,0.006878785711059461
4.0,4.0,pi,rho,-0.057421940953926436
4.0,5.0,k,delta,2.7221580016789843e-31
4.0,5.0,k,c,1.1152731773624983e-30
4.0,5.0,k,beta,1.0379359112475292e-31
4.0,5.0,k,lnV0,9.874271033109592e-32
4.0,5.0,k,phi,3.84412829635868e-31
4.0,5.0,k,pi,2.2675176075803988e-29
4.0,5.0,k,rho,1.043393983530589e-33
4.0,5.0,delta,c,1.0487354013442778e-30
4.0,5.0,delta,beta,-0.8887370982458372
4.0,5.0,delta,lnV0,-0.04233171553582848
4.0,5.0,delta,phi,-1.525600392362718
4.0,5.0,delta,pi,1.556193337136451
4.0,5.0,delta,rho,-0.002239135719328608
4.0,5.0,c,beta,4.151743644990117e-31
4.0,5.0,c,lnV0,3.949708413243837e-31
4.0,5.0,c,phi,1.537651318543472e-30
4.0,5.0,c,pi,9.070070430321595e-29
4.0,5.0,c,rho,4.173575934122356e-33
4.0,5.0,beta,lnV0,0.6028076259548165
4.0,5.0,beta,phi,4.499221862416094
4.0,5.0,beta,pi,10.515666180686875
4.0,5.0,beta,rho,0.005308702414644851
4.0,5.0,lnV0,phi,0.6989528623816272
4.0,5.0,lnV0,pi,0.9328911159739932
4.0,5.0,lnV0,rho,0.0032585125417011964
4.0,5.0,phi,pi,19.22553453504173
4.0,5.0,phi,rho,0.006878785711059461
4.0,5.0,pi,rho,-0.057421940953926436
