fs_time,time,prob,ymin,ymax,type,name
5.0,0.0,0,4.8982467820646995,4.8982467820646995,model,phi
5.0,0.0,12,4.280188493873545,5.516305070255855,model,phi
5.0,0.0,25,3.8702499838203144,6.0262016279393915,model,phi
5.0,0.0,37,3.8702499838203144,6.0262016279393915,model,phi
5.0,0.0,50,2.786713507311129,7.909580029721423,model,phi
5.0,0.0,62,1.4891335730241435,8.945058353647221,model,phi
5.0,0.0,75,1.4891335730241435,8.945058353647221,model,phi
5.0,0.0,87,0.8661995238351892,9.38949862887222,model,phi
5.0,0.0,95,0.8661995238351892,9.38949862887222,model,phi
5.0,1.0,0,5.516305070255855,5.516305070255855,model,phi
5.0,1.0,12,5.516305070255855,7.909580029721423,model,phi
5.0,1.0,25,5.516305070255855,7.909580029721423,model,phi
5.0,1.0,37,5.516305070255855,8.945058353647221,model,phi
5.0,1.0,50,2.786713507311129,8.945058353647221,model,phi
5.0,1.0,62,2.786713507311129,8.945058353647221,model,phi
5.0,1.0,75,0.8661995238351892,8.945058353647221,model,phi
5.0,1.0,87,0.8661995238351892,8.945058353647221,model,phi
5.0,1.0,95,0.8661995238351892,8.945058353647221,model,phi
5.0,2.0,0,5.516305070255855,5.516305070255855,model,phi
5.0,2.0,12,5.516305070255855,7.909580029721423,model,phi
5.0,2.0,25,5.516305070255855,7.909580029721423,model,phi
5.0,2.0,37,5.516305070255855,8.945058353647221,model,phi
5.0,2.0,50,2.786713507311129,8.945058353647221,model,phi
5.0,2.0,62,2.786713507311129,8.945058353647221,model,phi
5.0,2.0,75,0.8661995238351892,8.945058353647221,model,phi
5.0,2.0,87,0.8661995238351892,8.945058353647221,model,phi
5.0,2.0,95,0.8661995238351892,8.945058353647221,model,phi
5.0,3.0,0,5.516305070255855,5.516305070255855,model,phi
5.0,3.0,12,5.516305070255855,5.516305070255855,model,phi
5.0,3.0,25,5.516305070255855,7.909580029721423,model,phi
5.0,3.0,37,2.786713507311129,8.945058353647221,model,phi
5.0,3.0,50,2.786713507311129,8.945058353647221,model,phi
5.0,3.0,62,2.786713507311129,8.945058353647221,model,phi
5.0,3.0,75,2.786713507311129,8.945058353647221,model,phi
5.0,3.0,87,0.8661995238351892,8.945058353647221,model,phi
5.0,3.0,95,0.8661995238351892,8.945058353647221,model,phi
5.0,4.0,0,5.516305070255855,5.516305070255855,model,phi
5.0,4.0,12,5.516305070255855,5.516305070255855,model,phi
5.0,4.0,25,5.516305070255855,7.909580029721423,model,phi
5.0,4.0,37,5.516305070255855,8.945058353647221,model,phi
5.0,4.0,50,2.786713507311129,8.945058353647221,model,phi
5.0,4.0,62,2.786713507311129,8.945058353647221,model,phi
5.0,4.0,75,2.786713507311129,8.945058353647221,model,phi
5.0,4.0,87,2.786713507311129,8.945058353647221,model,phi
5.0,4.0,95,2.786713507311129,8.945058353647221,model,phi
