fs_time,time,prob,ymin,ymax,type,name
5.0,0.0,0,378.8562161150187,378.8562161150187,model,pi
5.0,0.0,12,375.52006823120723,382.19236399883016,model,pi
5.0,0.0,25,368.85181284769845,387.8886836766732,model,pi
5.0,0.0,37,368.85181284769845,387.8886836766732,model,pi
5.0,0.0,50,367.66773800076,396.02398498762875,model,pi
5.0,0.0,62,358.1989417735979,402.0151570141781,model,pi
5.0,0.0,75,358.1989417735979,402.0151570141781,model,pi
5.0,0.0,87,352.5627811217317,404.64938654023666,model,pi
5.0,0.0,95,352.5627811217317,404.64938654023666,model,pi
5.0,1.0,0,382.19236399883016,382.19236399883016,model,pi
5.0,1.0,12,382.19236399883016,387.8886836766732,model,pi
5.0,1.0,25,382.19236399883016,387.8886836766732,model,pi
5.0,1.0,37,375.52006823120723,402.0151570141781,model,pi
5.0,1.0,50,375.52006823120723,402.0151570141781,model,pi
5.0,1.0,62,375.52006823120723,402.0151570141781,model,pi
5.0,1.0,75,375.52006823120723,402.0151570141781,model,pi
5.0,1.0,87,352.5627811217317,402.0151570141781,model,pi
5.0,1.0,95,352.5627811217317,402.0151570141781,model,pi
5.0,2.0,0,387.8886836766732,387.8886836766732,model,pi
5.0,2.0,12,382.19236399883016,387.8886836766732,model,pi
5.0,2.0,25,382.19236399883016,387.8886836766732,model,pi
5.0,2.0,37,375.52006823120723,402.0151570141781,model,pi
5.0,2.0,50,375.52006823120723,402.0151570141781,model,pi
5.0,2.0,62,375.52006823120723,402.0151570141781,model,pi
5.0,2.0,75,375.52006823120723,402.0151570141781,model,pi
5.0,2.0,87,352.5627811217317,402.0151570141781,model,pi
5.0,2.0,95,352.5627811217317,402.0151570141781,model,pi
5.0,3.0,0,387.8886836766732,387.8886836766732,model,pi
5.0,3.0,12,382.19236399883016,387.8886836766732,model,pi
5.0,3.0,25,382.19236399883016,387.8886836766732,model,pi
5.0,3.0,37,375.52006823120723,402.0151570141781,model,pi
5.0,3.0,50,375.52006823120723,402.0151570141781,model,pi
5.0,3.0,62,375.52006823120723,402.0151570141781,model,pi
5.0,3.0,75,375.52006823120723,402.0151570141781,model,pi
5.0,3.0,87,352.5627811217317,402.0151570141781,model,pi
5.0,3.0,95,352.5627811217317,402.0151570141781,model,pi
5.0,4.0,0,387.8886836766732,387.8886836766732,model,pi
5.0,4.0,12,387.8886836766732,387.8886836766732,model,pi
5.0,4.0,25,382.19236399883016,387.8886836766732,model,pi
5.0,4.0,37,375.52006823120723,402.0151570141781,model,pi
5.0,4.0,50,375.52006823120723,402.0151570141781,model,pi
5.0,4.0,62,375.52006823120723,402.0151570141781,model,pi
5.0,4.0,75,375.52006823120723,402.0151570141781,model,pi
5.0,4.0,87,375.52006823120723,402.0151570141781,model,pi
5.0,4.0,95,352.5627811217317,402.0151570141781,model,pi
