fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,2.499625541465055,2.499625541465055,model,lnV0
21.0,0.0,12,2.2004540510246033,2.7996033419923214,model,lnV0
21.0,0.0,25,1.8746477999350843,3.1249753916885137,model,lnV0
21.0,0.0,37,1.5750295654014195,3.4249900399860254,model,lnV0
21.0,0.0,50,1.249943479295527,3.7508214344370403,model,lnV0
21.0,0.0,62,0.9501191350455721,4.049345290941495,model,lnV0
21.0,0.0,75,0.6249665981131352,4.3755929234458275,model,lnV0
21.0,0.0,87,0.32486406930150635,4.675871868296959,model,lnV0
21.0,0.0,95,0.12517111150246296,4.875714654916569,model,lnV0
21.0,1.0,0,4.026953536480235,4.026953536480235,model,lnV0
21.0,1.0,12,3.899762783554502,4.166368756820866,model,lnV0
21.0,1.0,25,3.741028526056968,4.311496844282846,model,lnV0
21.0,1.0,37,3.560390159367083,4.451155369577609,model,lnV0
21.0,1.0,50,3.341124888041703,4.5846870472338725,model,lnV0
21.0,1.0,62,3.010616145533881,4.691472165550107,model,lnV0
21.0,1.0,75,2.52721511627528,4.823757873288838,model,lnV0
21.0,1.0,87,1.8420307865544858,4.970813750050546,model,lnV0
21.0,1.0,95,1.0435653044584328,5.098478112281769,model,lnV0
21.0,2.0,0,4.022329053309635,4.022329053309635,model,lnV0
21.0,2.0,12,3.893750329580165,4.160725857450997,model,lnV0
21.0,2.0,25,3.726979464431466,4.3060776103547065,model,lnV0
21.0,2.0,37,3.557910823848969,4.438588910600977,model,lnV0
21.0,2.0,50,3.330345568675688,4.579685892026601,model,lnV0
21.0,2.0,62,3.0097946277169356,4.688718664158629,model,lnV0
21.0,2.0,75,2.531246577936852,4.8218407898303495,model,lnV0
21.0,2.0,87,1.825879572137944,4.969465762663227,model,lnV0
21.0,2.0,95,0.9907375563273209,5.099738056777739,model,lnV0
21.0,3.0,0,4.0243778389383,4.0243778389383,model,lnV0
21.0,3.0,12,3.8900734236662924,4.167777790107877,model,lnV0
21.0,3.0,25,3.7099561511127717,4.312640275902218,model,lnV0
