unit,time,prob,ymin,ymax
V,0.0,95,2.0,144.00000000000003
V,0.0,87,12.999999999999998,128.99999999999994
V,0.0,75,22.999999999999996,124.00000000000003
V,0.0,62,25.000000000000007,108.00000000000004
V,0.0,50,27.000000000000004,99.0
V,0.0,37,34.0,93.99999999999997
V,0.0,25,37.0,76.0
V,0.0,12,46.0,72.00000000000001
V,0.0,0,60.0,60.0
V,1.0,95,256.03516716258645,6093.692901921486
V,1.0,87,368.6918293050959,4533.825469263152
V,1.0,75,520.5848739971813,3710.9176898515507
V,1.0,62,753.4462202502378,3332.4551986870615
V,1.0,50,927.1356131705534,3007.126245956039
V,1.0,37,984.417397986964,2866.3919299857607
V,1.0,25,1127.4057992024284,2554.8874185888662
V,1.0,12,1520.7361157443527,2032.4439479440384
V,1.0,0,1848.090126558722,1848.090126558722
V,2.0,95,1094983.1403278357,9515238.092015708
V,2.0,87,1118014.4106715482,6324773.90577018
V,2.0,75,1200625.8796084146,5458530.835167119
V,2.0,62,1492610.481698178,4456368.081058461
V,2.0,50,1564574.7256548337,3935361.261063552
V,2.0,37,1895037.6153351748,3564054.5020191353
V,2.0,25,2149952.8731758846,3219741.3350891476
V,2.0,12,2351806.2759310496,2930063.2579302415
V,2.0,0,2593298.10379408,2593298.10379408
V,3.0,95,68169643.0579672,193740274.8966404
V,3.0,87,82734474.3995135,181717907.63970044
V,3.0,75,91627660.96474598,161978443.85021585
V,3.0,62,95239673.56535086,156589321.4974355
V,3.0,50,98240847.41249482,146906725.8646283
V,3.0,37,102639831.36091182,142285161.69990286
V,3.0,25,109667670.04491511,135365067.28206158
V,3.0,12,114779922.91974416,129137633.57479389
V,3.0,0,120685879.95644423,120685879.95644423
V,4.0,95,6873002.988593223,43006186.32400864
V,4.0,87,7409394.666632001,29272402.12771436
V,4.0,75,7935355.254714046,22818735.732799854
V,4.0,62,9081962.795958271,20134996.051366538
V,4.0,50,10180324.515849086,16931128.457629956
V,4.0,37,11368962.756985186,15827246.879541881
V,4.0,25,12235475.02326899,15514468.939533338
V,4.0,12,13138676.552488474,14234049.82612707
V,4.0,0,13820271.871386934,13820271.871386934
V,5.0,95,490528.1899734135,3367863.441150548
V,5.0,87,532670.24033735,2786701.247577821
V,5.0,75,611795.0893443545,2278223.6189216436
V,5.0,62,723907.801905642,1919993.1159304418
V,5.0,50,799956.054541722,1634159.1607976735
