fs_time,time,param1,param2,covar
14.0,14.0,pi,delta,0.22567950664774974
14.0,14.0,pi,lnV0,-3.861503251117541
14.0,14.0,pi,phi,15.066113775779884
14.0,14.0,pi,c,-1.777687592279737e-25
14.0,14.0,pi,rho,0.021415864706701926
14.0,14.0,pi,k,2.4777256798183346e-25
14.0,14.0,pi,beta,0.43355932040812767
14.0,14.0,delta,lnV0,-0.009794496956038113
14.0,14.0,delta,phi,-0.015726706251976245
14.0,14.0,delta,c,2.959708248703144e-28
14.0,14.0,delta,rho,7.99880686780034e-05
14.0,14.0,delta,k,-4.151484103514277e-28
14.0,14.0,delta,beta,-0.027648243208970722
14.0,14.0,lnV0,phi,0.13817104601534658
14.0,14.0,lnV0,c,-4.135698992854527e-28
14.0,14.0,lnV0,rho,-0.0011246369666366978
14.0,14.0,lnV0,k,5.635284505530786e-28
14.0,14.0,lnV0,beta,-0.3053637435320419
14.0,14.0,phi,c,-1.9526181886110875e-27
14.0,14.0,phi,rho,0.005188125146021765
14.0,14.0,phi,k,2.7308241441367677e-27
14.0,14.0,phi,beta,0.23348612576817976
14.0,14.0,c,rho,-1.8189873611821405e-30
14.0,14.0,c,k,-3.491113999063641e-26
14.0,14.0,c,beta,-3.111245311036745e-27
14.0,14.0,rho,k,2.771643453733465e-30
14.0,14.0,rho,beta,-0.0014451471000900013
14.0,14.0,k,beta,4.337748409299328e-27
14.0,15.0,pi,delta,0.22567950664774974
14.0,15.0,pi,lnV0,-3.861503251117541
14.0,15.0,pi,phi,15.066113775779884
14.0,15.0,pi,c,-1.777687592279737e-25
14.0,15.0,pi,rho,0.021415864706701926
14.0,15.0,pi,k,2.4777256798183346e-25
14.0,15.0,pi,beta,0.43355932040812767
14.0,15.0,delta,lnV0,-0.009794496956038113
14.0,15.0,delta,phi,-0.015726706251976245
14.0,15.0,delta,c,2.959708248703144e-28
14.0,15.0,delta,rho,7.99880686780034e-05
14.0,15.0,delta,k,-4.151484103514277e-28
14.0,15.0,delta,beta,-0.027648243208970722
14.0,15.0,lnV0,phi,0.13817104601534658
14.0,15.0,lnV0,c,-4.135698992854527e-28
14.0,15.0,lnV0,rho,-0.0011246369666366978
14.0,15.0,lnV0,k,5.635284505530786e-28
14.0,15.0,lnV0,beta,-0.3053637435320419
14.0,15.0,phi,c,-1.9526181886110875e-27
14.0,15.0,phi,rho,0.005188125146021765
14.0,15.0,phi,k,2.7308241441367677e-27
14.0,15.0,phi,beta,0.23348612576817976
14.0,15.0,c,rho,-1.8189873611821405e-30
14.0,15.0,c,k,-3.491113999063641e-26
14.0,15.0,c,beta,-3.111245311036745e-27
14.0,15.0,rho,k,2.771643453733465e-30
14.0,15.0,rho,beta,-0.0014451471000900013
14.0,15.0,k,beta,4.337748409299328e-27
14.0,16.0,pi,delta,0.22567950664774974
14.0,16.0,pi,lnV0,-3.861503251117541
14.0,16.0,pi,phi,15.066113775779884
14.0,16.0,pi,c,-1.777687592279737e-25
14.0,16.0,pi,rho,0.021415864706701926
14.0,16.0,pi,k,2.4777256798183346e-25
14.0,16.0,pi,beta,0.43355932040812767
14.0,16.0,delta,lnV0,-0.009794496956038113
14.0,16.0,delta,phi,-0.015726706251976245
14.0,16.0,delta,c,2.959708248703144e-28
14.0,16.0,delta,rho,7.99880686780034e-05
14.0,16.0,delta,k,-4.151484103514277e-28
14.0,16.0,delta,beta,-0.027648243208970722
14.0,16.0,lnV0,phi,0.13817104601534658
14.0,16.0,lnV0,c,-4.135698992854527e-28
14.0,16.0,lnV0,rho,-0.0011246369666366978
14.0,16.0,lnV0,k,5.635284505530786e-28
14.0,16.0,lnV0,beta,-0.3053637435320419
14.0,16.0,phi,c,-1.9526181886110875e-27
14.0,16.0,phi,rho,0.005188125146021765
14.0,16.0,phi,k,2.7308241441367677e-27
14.0,16.0,phi,beta,0.23348612576817976
14.0,16.0,c,rho,-1.8189873611821405e-30
14.0,16.0,c,k,-3.491113999063641e-26
14.0,16.0,c,beta,-3.111245311036745e-27
14.0,16.0,rho,k,2.771643453733465e-30
14.0,16.0,rho,beta,-0.0014451471000900013
14.0,16.0,k,beta,4.337748409299328e-27
14.0,17.0,pi,delta,0.22567950664774974
14.0,17.0,pi,lnV0,-3.861503251117541
14.0,17.0,pi,phi,15.066113775779884
14.0,17.0,pi,c,-1.777687592279737e-25
14.0,17.0,pi,rho,0.021415864706701926
14.0,17.0,pi,k,2.4777256798183346e-25
14.0,17.0,pi,beta,0.43355932040812767
14.0,17.0,delta,lnV0,-0.009794496956038113
14.0,17.0,delta,phi,-0.015726706251976245
14.0,17.0,delta,c,2.959708248703144e-28
14.0,17.0,delta,rho,7.99880686780034e-05
14.0,17.0,delta,k,-4.151484103514277e-28
14.0,17.0,delta,beta,-0.027648243208970722
14.0,17.0,lnV0,phi,0.13817104601534658
14.0,17.0,lnV0,c,-4.135698992854527e-28
14.0,17.0,lnV0,rho,-0.0011246369666366978
14.0,17.0,lnV0,k,5.635284505530786e-28
14.0,17.0,lnV0,beta,-0.3053637435320419
14.0,17.0,phi,c,-1.9526181886110875e-27
14.0,17.0,phi,rho,0.005188125146021765
14.0,17.0,phi,k,2.7308241441367677e-27
14.0,17.0,phi,beta,0.23348612576817976
14.0,17.0,c,rho,-1.8189873611821405e-30
14.0,17.0,c,k,-3.491113999063641e-26
14.0,17.0,c,beta,-3.111245311036745e-27
14.0,17.0,rho,k,2.771643453733465e-30
14.0,17.0,rho,beta,-0.0014451471000900013
14.0,17.0,k,beta,4.337748409299328e-27
14.0,18.0,pi,delta,0.22567950664774974
14.0,18.0,pi,lnV0,-3.861503251117541
14.0,18.0,pi,phi,15.066113775779884
14.0,18.0,pi,c,-1.777687592279737e-25
14.0,18.0,pi,rho,0.021415864706701926
14.0,18.0,pi,k,2.4777256798183346e-25
14.0,18.0,pi,beta,0.43355932040812767
14.0,18.0,delta,lnV0,-0.009794496956038113
14.0,18.0,delta,phi,-0.015726706251976245
14.0,18.0,delta,c,2.959708248703144e-28
14.0,18.0,delta,rho,7.99880686780034e-05
14.0,18.0,delta,k,-4.151484103514277e-28
14.0,18.0,delta,beta,-0.027648243208970722
14.0,18.0,lnV0,phi,0.13817104601534658
14.0,18.0,lnV0,c,-4.135698992854527e-28
14.0,18.0,lnV0,rho,-0.0011246369666366978
14.0,18.0,lnV0,k,5.635284505530786e-28
14.0,18.0,lnV0,beta,-0.3053637435320419
14.0,18.0,phi,c,-1.9526181886110875e-27
14.0,18.0,phi,rho,0.005188125146021765
14.0,18.0,phi,k,2.7308241441367677e-27
14.0,18.0,phi,beta,0.23348612576817976
14.0,18.0,c,rho,-1.8189873611821405e-30
14.0,18.0,c,k,-3.491113999063641e-26
14.0,18.0,c,beta,-3.111245311036745e-27
14.0,18.0,rho,k,2.771643453733465e-30
14.0,18.0,rho,beta,-0.0014451471000900013
14.0,18.0,k,beta,4.337748409299328e-27
14.0,19.0,pi,delta,0.22567950664774974
14.0,19.0,pi,lnV0,-3.861503251117541
14.0,19.0,pi,phi,15.066113775779884
14.0,19.0,pi,c,-1.777687592279737e-25
14.0,19.0,pi,rho,0.021415864706701926
