fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,379.9942988300086,379.9942988300086,model,pi
21.0,0.0,12,376.39555105897915,383.60589609768505,model,pi
21.0,0.0,25,372.4938055329318,387.4990583209998,model,pi
21.0,0.0,37,368.8937345771309,391.1040019210365,model,pi
21.0,0.0,50,365.0074269750297,395.0086501109406,model,pi
21.0,0.0,62,361.40509662048447,398.5992668943119,model,pi
21.0,0.0,75,357.5001821419246,402.4935915981655,model,pi
21.0,0.0,87,353.8990911502476,406.0870186632269,model,pi
21.0,0.0,95,351.50644837024095,408.5088894724963,model,pi
21.0,1.0,0,379.3532399981233,379.3532399981233,model,pi
21.0,1.0,12,376.2565300711958,382.7457191742012,model,pi
21.0,1.0,25,371.98446094027605,387.4210079117915,model,pi
21.0,1.0,37,368.9120411031275,391.54040529260607,model,pi
21.0,1.0,50,364.72227403915406,395.2413332104744,model,pi
21.0,1.0,62,361.886332770796,399.27226842269073,model,pi
21.0,1.0,75,358.31479574306405,402.46326471305906,model,pi
21.0,1.0,87,354.1845812054024,406.1005756384636,model,pi
21.0,1.0,95,351.518138623558,408.52768125543275,model,pi
21.0,2.0,0,379.1130903731108,379.1130903731108,model,pi
21.0,2.0,12,375.4878980542357,383.3525698556913,model,pi
21.0,2.0,25,372.0907773403396,387.76273291039274,model,pi
21.0,2.0,37,368.4026207322219,391.2633051317144,model,pi
21.0,2.0,50,364.97241220560784,394.6867095106678,model,pi
21.0,2.0,62,361.90211871953125,398.5727293094466,model,pi
21.0,2.0,75,357.85813997731793,400.0,model,pi
21.0,2.0,87,353.5008768461797,400.0,model,pi
21.0,2.0,95,350.53725095066187,400.0,model,pi
21.0,3.0,0,379.50265853147926,379.50265853147926,model,pi
21.0,3.0,12,375.75074526327205,383.4984076559153,model,pi
21.0,3.0,25,372.1989014134934,387.60486727008066,model,pi
21.0,3.0,37,368.09011134632823,391.0163457771205,model,pi
21.0,3.0,50,364.82733921976586,394.3759302848722,model,pi
21.0,3.0,62,362.0083449309568,398.24870856131616,model,pi
21.0,3.0,75,357.8505476938736,400.0,model,pi
21.0,3.0,87,353.4927099785192,400.0,model,pi
21.0,3.0,95,350.53105334715605,400.0,model,pi
21.0,4.0,0,379.4339303009256,379.4339303009256,model,pi
21.0,4.0,12,375.650261848767,383.37917157551186,model,pi
21.0,4.0,25,371.99307216965985,387.40284736087915,model,pi
21.0,4.0,37,367.77788642234304,390.83812161751024,model,pi
21.0,4.0,50,364.3265507496666,394.16026600510423,model,pi
21.0,4.0,62,361.6568827813395,397.84299841987763,model,pi
21.0,4.0,75,357.7020112966866,400.0,model,pi
21.0,4.0,87,353.5768581739569,400.0,model,pi
21.0,4.0,95,350.7211290908708,400.0,model,pi
21.0,5.0,0,378.74840929030296,378.74840929030296,model,pi
21.0,5.0,12,375.33386854983917,383.1083471240097,model,pi
21.0,5.0,25,371.6066479758838,386.6634453200927,model,pi
21.0,5.0,37,367.40297405277164,390.44563521820277,model,pi
21.0,5.0,50,363.8651866260166,393.85872372034305,model,pi
21.0,5.0,62,361.56674622509735,397.19288336043354,model,pi
21.0,5.0,75,357.48414579069436,400.0,model,pi
21.0,5.0,87,353.55050044962053,400.0,model,pi
21.0,5.0,95,350.7211290908708,400.0,model,pi
21.0,6.0,0,378.5793686456955,378.5793686456955,model,pi
21.0,6.0,12,375.2964834414025,382.95194541416487,model,pi
21.0,6.0,25,371.037240917435,386.3476322670667,model,pi
21.0,6.0,37,366.8419364556981,390.0809882267478,model,pi
21.0,6.0,50,363.770884059022,393.4758084910839,model,pi
21.0,6.0,62,361.5015410801342,396.9521080935595,model,pi
21.0,6.0,75,357.41991209402426,400.0,model,pi
21.0,6.0,87,353.60107196510734,400.0,model,pi
21.0,6.0,95,350.72689439684666,400.0,model,pi
21.0,7.0,0,378.06341191844285,378.06341191844285,model,pi
21.0,7.0,12,374.6770602052628,381.99533000622336,model,pi
21.0,7.0,25,370.537368919565,385.6230608469602,model,pi
21.0,7.0,37,366.5519658820065,389.5718712673956,model,pi
21.0,7.0,50,363.770884059022,393.032693664719,model,pi
21.0,7.0,62,361.4493819924309,396.5244494258528,model,pi
21.0,7.0,75,357.3406472154797,400.0,model,pi
21.0,7.0,87,353.44012729614025,400.0,model,pi
21.0,7.0,95,350.7211290908708,400.0,model,pi
21.0,8.0,0,377.79500920749837,377.79500920749837,model,pi
21.0,8.0,12,374.54206711214647,381.9240905895914,model,pi
21.0,8.0,25,370.6638535542328,385.62168435749936,model,pi
21.0,8.0,37,366.9053687503849,389.55186363675455,model,pi
21.0,8.0,50,363.81111440019885,393.032693664719,model,pi
21.0,8.0,62,361.4493819924309,396.50870012571187,model,pi
21.0,8.0,75,357.3406472154797,400.0,model,pi
21.0,8.0,87,353.29148424198934,400.0,model,pi
21.0,8.0,95,350.5434485541677,400.0,model,pi
21.0,9.0,0,378.2718816648239,378.2718816648239,model,pi
21.0,9.0,12,375.0504006314853,382.1219391402377,model,pi
21.0,9.0,25,371.94655608205704,386.71170013527876,model,pi
