fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,4.999853028369193,4.999853028369193,model,beta
21.0,0.0,12,4.401608870823319,5.6008763338096665,model,beta
21.0,0.0,25,3.7505204417067377,6.2498718026642806,model,beta
21.0,0.0,37,3.151211878008489,6.848357707980841,model,beta
21.0,0.0,50,2.4998856516097394,7.499774346691451,model,beta
21.0,0.0,62,1.8998147282799405,8.101759246415778,model,beta
21.0,0.0,75,1.2496080516941395,8.750119605634456,model,beta
21.0,0.0,87,0.6494691386056111,9.348629176780108,model,beta
21.0,0.0,95,0.24876007177026974,9.750672908952186,model,beta
21.0,1.0,0,8.292770992851928,8.292770992851928,model,beta
21.0,1.0,12,8.00919831247646,8.546183324719381,model,beta
21.0,1.0,25,7.633220501838096,8.772592134261396,model,beta
21.0,1.0,37,7.272062150183604,8.987756237880706,model,beta
21.0,1.0,50,6.848384342478239,9.194346408070661,model,beta
21.0,1.0,62,6.315453291584298,9.394668363199436,model,beta
21.0,1.0,75,5.654329461902169,9.604671244270957,model,beta
21.0,1.0,87,4.715631327065133,9.879961742633768,model,beta
21.0,1.0,95,3.5374716701764495,10.163772330807266,model,beta
21.0,2.0,0,8.553679288234115,8.553679288234115,model,beta
21.0,2.0,12,8.309247632963288,8.73028490388443,model,beta
21.0,2.0,25,8.020287238971589,8.958033536072929,model,beta
21.0,2.0,37,7.653207422577807,9.093613361715951,model,beta
21.0,2.0,50,7.268134606534308,9.295763222963528,model,beta
21.0,2.0,62,6.8632833537038955,9.461597457613816,model,beta
21.0,2.0,75,6.212075714179129,9.638775686158864,model,beta
21.0,2.0,87,5.463558587793751,9.913213663169968,model,beta
21.0,2.0,95,4.360379345184677,10.202848017885877,model,beta
21.0,3.0,0,8.496480163707767,8.496480163707767,model,beta
21.0,3.0,12,8.250401394521996,8.69067281285857,model,beta
21.0,3.0,25,7.954045196782493,8.927070675325426,model,beta
21.0,3.0,37,7.615509408448404,9.077920044349776,model,beta
21.0,3.0,50,7.229712640944551,9.279071063999266,model,beta
21.0,3.0,62,6.796916763137102,9.447463955901672,model,beta
21.0,3.0,75,6.1675466550640525,9.638458762644568,model,beta
21.0,3.0,87,5.402488573932647,9.923203435718934,model,beta
21.0,3.0,95,4.299089173381264,10.204369117186646,model,beta
21.0,4.0,0,8.495623005747506,8.495623005747506,model,beta
21.0,4.0,12,8.250371975083098,8.68935357796779,model,beta
21.0,4.0,25,7.954045196782493,8.922097404899784,model,beta
21.0,4.0,37,7.625143732812995,9.066808039904464,model,beta
21.0,4.0,50,7.2490673429261525,9.272061051943876,model,beta
21.0,4.0,62,6.847609528029952,9.447463955901672,model,beta
21.0,4.0,75,6.189529446988093,9.638913953827567,model,beta
21.0,4.0,87,5.419939258044528,9.92688117587239,model,beta
21.0,4.0,95,4.396192581682239,10.205423241512493,model,beta
21.0,5.0,0,8.458753853323957,8.458753853323957,model,beta
21.0,5.0,12,8.209104932902687,8.673037790847253,model,beta
21.0,5.0,25,7.893643388126893,8.896874435700067,model,beta
21.0,5.0,37,7.593000617239687,9.047734707230017,model,beta
21.0,5.0,50,7.20636004581409,9.256536495411089,model,beta
21.0,5.0,62,6.7824507854247305,9.437861737521565,model,beta
21.0,5.0,75,6.121779828792598,9.632450369776478,model,beta
21.0,5.0,87,5.396810247984139,9.913213663169968,model,beta
21.0,5.0,95,4.396192581682239,10.205423241512493,model,beta
21.0,6.0,0,8.452545561958337,8.452545561958337,model,beta
21.0,6.0,12,8.189285035893624,8.660174999400605,model,beta
21.0,6.0,25,7.854650007715416,8.880192817862977,model,beta
21.0,6.0,37,7.5851324511361,9.040421069100448,model,beta
21.0,6.0,50,7.182244522282294,9.25452453231449,model,beta
21.0,6.0,62,6.769815318715915,9.437861737521565,model,beta
