fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,2.5004859832367208,2.5004859832367208,model,delta
21.0,0.0,12,2.320489509656202,2.6796158702843993,model,delta
21.0,0.0,25,2.125445615370414,2.875075877425056,model,delta
21.0,0.0,37,1.9453202882409015,3.0548698229036324,model,delta
21.0,0.0,50,1.750195559410459,3.249839654690151,model,delta
21.0,0.0,62,1.5701001581073921,3.4299591826570595,model,delta
21.0,0.0,75,1.375378527539361,3.6250104241323857,model,delta
21.0,0.0,87,1.194891276376157,3.805227590477128,model,delta
21.0,0.0,95,1.0744117740071868,3.9248154441728,model,delta
21.0,1.0,0,2.1100618612545707,2.1100618612545707,model,delta
21.0,1.0,12,1.9506649405597432,2.2415894098073554,model,delta
21.0,1.0,25,1.7847073356060825,2.42200823041195,model,delta
21.0,1.0,37,1.6117172439233873,2.61206568901422,model,delta
21.0,1.0,50,1.4773206778294705,2.8625197897301775,model,delta
21.0,1.0,62,1.3545305550403686,3.0521143021348998,model,delta
21.0,1.0,75,1.2124586050142006,3.3222779139145633,model,delta
21.0,1.0,87,1.0603201693442053,3.612112199053932,model,delta
21.0,1.0,95,1.0,3.884129782347649,model,delta
21.0,2.0,0,1.9630524573447559,1.9630524573447559,model,delta
21.0,2.0,12,1.8030048344806293,2.1169223459808033,model,delta
21.0,2.0,25,1.6266249000569715,2.272596032653478,model,delta
21.0,2.0,37,1.4969354574106513,2.440529035024177,model,delta
21.0,2.0,50,1.3815148178500556,2.691478617493095,model,delta
21.0,2.0,62,1.2700467115204335,2.9263212107374668,model,delta
21.0,2.0,75,1.1494114108038873,3.2007056567160257,model,delta
21.0,2.0,87,1.0222591173124465,3.500791232863466,model,delta
21.0,2.0,95,1.0,3.7928769672712552,model,delta
21.0,3.0,0,2.191811049503161,2.191811049503161,model,delta
21.0,3.0,12,2.0636945078630218,2.3433664482022927,model,delta
21.0,3.0,25,1.8869348112446898,2.5115199664665164,model,delta
21.0,3.0,37,1.7090174186957094,2.7350637960503397,model,delta
21.0,3.0,50,1.5341609356955583,2.937044172901374,model,delta
21.0,3.0,62,1.4021949988771836,3.1391803807353984,model,delta
21.0,3.0,75,1.2539695157976678,3.376730110701429,model,delta
21.0,3.0,87,1.087718560487242,3.610015159261744,model,delta
21.0,3.0,95,1.0,3.856326957715658,model,delta
21.0,4.0,0,2.3767699102538176,2.3767699102538176,model,delta
21.0,4.0,12,2.240545335243128,2.519042553873681,model,delta
21.0,4.0,25,2.112424607585592,2.7240007793850385,model,delta
21.0,4.0,37,1.9562460129581738,2.8729250151719534,model,delta
21.0,4.0,50,1.7783272403001131,3.033534434208508,model,delta
21.0,4.0,62,1.5814880996891778,3.2126411069473693,model,delta
21.0,4.0,75,1.3956811326074363,3.418708595562663,model,delta
21.0,4.0,87,1.202684081607296,3.6378624357231177,model,delta
21.0,4.0,95,1.0222591173124465,3.8659063352113243,model,delta
21.0,5.0,0,2.3515775860036583,2.3515775860036583,model,delta
21.0,5.0,12,2.2399493562969393,2.464241961211735,model,delta
21.0,5.0,25,2.1314056819633116,2.603160190222877,model,delta
21.0,5.0,37,2.0126711381732076,2.772485335143637,model,delta
21.0,5.0,50,1.8614060288495153,2.924088106533336,model,delta
21.0,5.0,62,1.6932860255351931,3.0571435771129556,model,delta
21.0,5.0,75,1.499387167231889,3.26615102929047,model,delta
21.0,5.0,87,1.3079834312954963,3.4995126544885644,model,delta
21.0,5.0,95,1.091786973388502,3.751865201332365,model,delta
21.0,6.0,0,2.4559071397809396,2.4559071397809396,model,delta
21.0,6.0,12,2.3587078424848564,2.547047252834044,model,delta
21.0,6.0,25,2.2630584230991837,2.691478617493095,model,delta
21.0,6.0,37,2.1736586399693794,2.7992764378095973,model,delta
21.0,6.0,50,2.0731210484866818,2.9263212107374668,model,delta
21.0,6.0,62,1.9469182592054668,3.042573933188823,model,delta
21.0,6.0,75,1.7929947489015483,3.2228034548988043,model,delta
21.0,6.0,87,1.5496357466039155,3.444400238647085,model,delta
21.0,6.0,95,1.3309574132999455,3.6634496216191237,model,delta
21.0,7.0,0,2.6120761560945955,2.6120761560945955,model,delta
21.0,7.0,12,2.527132921886057,2.7262359975110737,model,delta
21.0,7.0,25,2.4488544913864327,2.802241722048685,model,delta
21.0,7.0,37,2.364926287596984,2.9063438006898883,model,delta
21.0,7.0,50,2.2743668490663733,2.9990469732886678,model,delta
21.0,7.0,62,2.1799651466580143,3.119037485023739,model,delta
21.0,7.0,75,2.0731210484866818,3.25334165268649,model,delta
21.0,7.0,87,1.9093014454817403,3.444400238647085,model,delta
21.0,7.0,95,1.689793901296538,3.625339430526379,model,delta
21.0,8.0,0,2.4408968735439127,2.4408968735439127,model,delta
21.0,8.0,12,2.3747008070689315,2.488644809498632,model,delta
21.0,8.0,25,2.3092250741412266,2.5705669912659217,model,delta
21.0,8.0,37,2.2513540280533606,2.668835298281628,model,delta
21.0,8.0,50,2.1807762462292724,2.7692341392977715,model,delta
21.0,8.0,62,2.1183658555275806,2.8657049169461226,model,delta
21.0,8.0,75,2.0254473979472003,2.978585307882331,model,delta
21.0,8.0,87,1.8910394974797216,3.192225564888551,model,delta
21.0,8.0,95,1.715211768104168,3.403598996098164,model,delta
21.0,9.0,0,2.2046969016192213,2.2046969016192213,model,delta
21.0,9.0,12,2.166278110780646,2.2513540280533606,model,delta
21.0,9.0,25,2.120823253654866,2.301828086592685,model,delta
21.0,9.0,37,2.074763675293027,2.355812254418277,model,delta
21.0,9.0,50,2.01613959785259,2.412896627229844,model,delta
21.0,9.0,62,1.9492818866810016,2.4733611884391853,model,delta
21.0,9.0,75,1.8704924023435319,2.569563802022845,model,delta
