fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,0.012003546114361888,0.012003546114361888,model,rho
21.0,0.0,12,0.010561863606806592,0.01343815814316158,model,rho
21.0,0.0,25,0.009002276076549805,0.014998388275117477,model,rho
21.0,0.0,37,0.007557481232564353,0.01644247202552904,model,rho
21.0,0.0,50,0.006001046865161435,0.017999687376762656,model,rho
21.0,0.0,62,0.00455572172977711,0.01943707973418253,model,rho
21.0,0.0,75,0.003000155526789606,0.020999874776726712,model,rho
21.0,0.0,87,0.0015584257585419526,0.022438547916383854,model,rho
21.0,0.0,95,0.0006018454615505953,0.02339586061927426,model,rho
21.0,1.0,0,0.012458272186352405,0.012458272186352405,model,rho
21.0,1.0,12,0.011072149947712915,0.013729352393166524,model,rho
21.0,1.0,25,0.009429687755066926,0.01515473863573382,model,rho
21.0,1.0,37,0.007952565115275208,0.016617787361623705,model,rho
21.0,1.0,50,0.006338284325077248,0.018277868499817558,model,rho
21.0,1.0,62,0.004975993415186288,0.019648926005334223,model,rho
21.0,1.0,75,0.0034479460374900617,0.021121207808847544,model,rho
21.0,1.0,87,0.0019954286570631405,0.02260058427422126,model,rho
21.0,1.0,95,0.00015640854619132158,0.024045601914511515,model,rho
21.0,2.0,0,0.01259735130923068,0.01259735130923068,model,rho
21.0,2.0,12,0.011192849529341554,0.013862666495639818,model,rho
21.0,2.0,25,0.009522313581244751,0.01529587167769852,model,rho
21.0,2.0,37,0.008066219618386886,0.01666265238889561,model,rho
21.0,2.0,50,0.006467108140028363,0.018329308710845243,model,rho
21.0,2.0,62,0.005001616105087657,0.019751822613371637,model,rho
21.0,2.0,75,0.0034528837080344127,0.02121663730857469,model,rho
21.0,2.0,87,0.0019635425740228414,0.02269674239725299,model,rho
21.0,2.0,95,0.0001517667362082852,0.024083365195457146,model,rho
21.0,3.0,0,0.012339284859877689,0.012339284859877689,model,rho
21.0,3.0,12,0.01089830309083778,0.013713254341857984,model,rho
21.0,3.0,25,0.009316903363718121,0.015103257342390139,model,rho
21.0,3.0,37,0.007954079411972726,0.016615015492253003,model,rho
21.0,3.0,50,0.006306251486774106,0.018269063186571968,model,rho
21.0,3.0,62,0.0047889805886716895,0.019566870376238516,model,rho
21.0,3.0,75,0.0033185488602735886,0.021074454409011106,model,rho
21.0,3.0,87,0.002014262757859971,0.022560218356408583,model,rho
21.0,3.0,95,0.0001,0.024083365195457146,model,rho
21.0,4.0,0,0.01278975802696759,0.01278975802696759,model,rho
21.0,4.0,12,0.011180056936916975,0.014116210157736965,model,rho
21.0,4.0,25,0.009765181944662105,0.015615418239279361,model,rho
21.0,4.0,37,0.008291236097853882,0.016895181922489035,model,rho
21.0,4.0,50,0.006801971133516875,0.01863767658536065,model,rho
21.0,4.0,62,0.0050510030370852586,0.019694155562634777,model,rho
21.0,4.0,75,0.003421162587218696,0.021181250332402365,model,rho
21.0,4.0,87,0.0020452577925780327,0.022572787902723077,model,rho
21.0,4.0,95,0.00030776716945983,0.024250323085234053,model,rho
21.0,5.0,0,0.013128760097772703,0.013128760097772703,model,rho
21.0,5.0,12,0.011400098862101422,0.014751391075639922,model,rho
21.0,5.0,25,0.00991808340710616,0.016443477220445354,model,rho
21.0,5.0,37,0.008666303706977053,0.017732362839699006,model,rho
21.0,5.0,50,0.007238695278967113,0.019111357877306154,model,rho
21.0,5.0,62,0.005691005464766323,0.02011991275459349,model,rho
21.0,5.0,75,0.003924828246216038,0.021348549167612276,model,rho
21.0,5.0,87,0.0020709737478964265,0.022891576755520063,model,rho
21.0,5.0,95,0.0003449477649990608,0.02486192505801254,model,rho
21.0,6.0,0,0.012643715892490344,0.012643715892490344,model,rho
21.0,6.0,12,0.010978987063108727,0.014238660313084654,model,rho
21.0,6.0,25,0.009748996533702106,0.016273535693201332,model,rho
21.0,6.0,37,0.008489123877691728,0.01772788452841891,model,rho
21.0,6.0,50,0.007054221361195968,0.019092202071397807,model,rho
21.0,6.0,62,0.005601101721505172,0.02008462489644398,model,rho
21.0,6.0,75,0.003831560754705526,0.021281685131897467,model,rho
21.0,6.0,87,0.0020336136575802594,0.022839548264454737,model,rho
21.0,6.0,95,0.0002490345526080914,0.024676039254415805,model,rho
21.0,7.0,0,0.012643715892490344,0.012643715892490344,model,rho
21.0,7.0,12,0.010978987063108727,0.014281203533525045,model,rho
21.0,7.0,25,0.009768389676970812,0.016313173769918744,model,rho
21.0,7.0,37,0.008490632591305525,0.0177650172929445,model,rho
