fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,4.999853028369193,4.999853028369193,model,beta
21.0,0.0,12,4.401608870823319,5.6008763338096665,model,beta
21.0,0.0,25,3.7505204417067377,6.2498718026642806,model,beta
21.0,0.0,37,3.151211878008489,6.848357707980841,model,beta
21.0,0.0,50,2.4998856516097394,7.499774346691451,model,beta
21.0,0.0,62,1.8998147282799405,8.101759246415778,model,beta
21.0,0.0,75,1.2496080516941395,8.750119605634456,model,beta
21.0,0.0,87,0.6494691386056111,9.348629176780108,model,beta
21.0,0.0,95,0.24876007177026974,9.750672908952186,model,beta
21.0,1.0,0,8.047922550399655,8.047922550399655,model,beta
21.0,1.0,12,7.738307715484595,8.392238608133066,model,beta
21.0,1.0,25,7.358283785460502,8.661389330517746,model,beta
21.0,1.0,37,6.955070203652218,8.919343375963582,model,beta
21.0,1.0,50,6.590538868863748,9.16245105442388,model,beta
21.0,1.0,62,6.099594106828054,9.368318008992375,model,beta
21.0,1.0,75,5.42963888805481,9.633106955504086,model,beta
21.0,1.0,87,4.251694004345252,9.906358483698458,model,beta
21.0,1.0,95,2.996430356088289,10.209010288628104,model,beta
21.0,2.0,0,7.984671949303421,7.984671949303421,model,beta
21.0,2.0,12,7.711638153069229,8.354071265596177,model,beta
21.0,2.0,25,7.319288275638585,8.610057578249982,model,beta
21.0,2.0,37,6.943317606781435,8.856660982210421,model,beta
21.0,2.0,50,6.549480546635754,9.141962437954225,model,beta
21.0,2.0,62,6.0941841924105615,9.3505108432793,model,beta
21.0,2.0,75,5.433455762924332,9.627304139668393,model,beta
21.0,2.0,87,4.3744940658671245,9.906798779757318,model,beta
21.0,2.0,95,3.078372778895207,10.20638366469142,model,beta
21.0,3.0,0,7.975901112033082,7.975901112033082,model,beta
21.0,3.0,12,7.705315141293131,8.355318067137961,model,beta
21.0,3.0,25,7.3153886929629,8.616829816283165,model,beta
21.0,3.0,37,6.920131137899971,8.887705306425449,model,beta
21.0,3.0,50,6.523496884478764,9.16914804856185,model,beta
21.0,3.0,62,5.993575122326519,9.37902928497568,model,beta
21.0,3.0,75,5.407987090807598,9.644285369436652,model,beta
21.0,3.0,87,4.285839522721192,9.921423959755156,model,beta
21.0,3.0,95,3.0579002551654133,10.245058488094058,model,beta
21.0,4.0,0,8.01692976395572,8.01692976395572,model,beta
21.0,4.0,12,7.760164018103495,8.398943778384522,model,beta
21.0,4.0,25,7.454505244916821,8.661878183905054,model,beta
21.0,4.0,37,7.120985392402264,8.9439210281763,model,beta
21.0,4.0,50,6.7429088526468295,9.195914171623482,model,beta
21.0,4.0,62,6.286384372196913,9.418608027223117,model,beta
21.0,4.0,75,5.696279872170019,9.674445187398911,model,beta
21.0,4.0,87,4.7971944659917405,9.969949521156067,model,beta
21.0,4.0,95,3.6520824828828244,10.247818391744046,model,beta
21.0,5.0,0,7.886057463279454,7.886057463279454,model,beta
21.0,5.0,12,7.675940126564046,8.30367868780674,model,beta
21.0,5.0,25,7.339522988381187,8.597541230290068,model,beta
21.0,5.0,37,7.016130075833585,8.916696042885402,model,beta
21.0,5.0,50,6.679702399422348,9.180861339806961,model,beta
21.0,5.0,62,6.271484361125406,9.391715241951541,model,beta
21.0,5.0,75,5.700317094573269,9.669709912878343,model,beta
21.0,5.0,87,4.821072711599712,9.970908944364924,model,beta
21.0,5.0,95,3.776437243825809,10.247818391744046,model,beta
21.0,6.0,0,7.886057463279454,7.886057463279454,model,beta
21.0,6.0,12,7.675940126564046,8.30367868780674,model,beta
21.0,6.0,25,7.339522988381187,8.606404626693518,model,beta
21.0,6.0,37,7.042024254294415,8.9439210281763,model,beta
21.0,6.0,50,6.732783676056371,9.193251964192024,model,beta
21.0,6.0,62,6.348018691419148,9.418608027223117,model,beta
