fs_time,time,param1,param2,covar
15.0,15.0,k,rho,-3.546598550150154e-29
15.0,15.0,k,beta,1.630830974422027e-27
15.0,15.0,k,pi,-3.0770765107710403e-25
15.0,15.0,k,phi,-4.517149201902251e-27
15.0,15.0,k,delta,-1.0170986014243864e-27
15.0,15.0,k,c,-3.446057938981997e-26
15.0,15.0,k,lnV0,3.124706879114034e-27
15.0,15.0,rho,beta,0.0013692059555233435
15.0,15.0,rho,pi,-0.10066255977361406
15.0,15.0,rho,phi,0.0038551979257642572
15.0,15.0,rho,delta,-0.0025554968711316607
15.0,15.0,rho,c,8.471813177306161e-30
15.0,15.0,rho,lnV0,-0.0011552190298483947
15.0,15.0,beta,pi,-19.378320707362843
15.0,15.0,beta,phi,0.7222465703541584
15.0,15.0,beta,delta,-0.17620179150375204
15.0,15.0,beta,c,-3.6730205120317016e-28
15.0,15.0,beta,lnV0,-0.530459727929133
15.0,15.0,pi,phi,-32.82699933987858
15.0,15.0,pi,delta,18.20987766835289
15.0,15.0,pi,c,7.333529566684609e-26
15.0,15.0,pi,lnV0,-17.979030904358346
15.0,15.0,phi,delta,-0.5907689343105965
15.0,15.0,phi,c,1.0936671418498154e-27
15.0,15.0,phi,lnV0,-0.3169193333731758
15.0,15.0,delta,c,2.436675394079862e-28
15.0,15.0,delta,lnV0,0.028214724100788072
15.0,15.0,c,lnV0,-7.455565611527613e-28
15.0,16.0,k,rho,-3.546598550150154e-29
15.0,16.0,k,beta,1.630830974422027e-27
15.0,16.0,k,pi,-3.0770765107710403e-25
15.0,16.0,k,phi,-4.517149201902251e-27
15.0,16.0,k,delta,-1.0170986014243864e-27
15.0,16.0,k,c,-3.446057938981997e-26
15.0,16.0,k,lnV0,3.124706879114034e-27
15.0,16.0,rho,beta,0.0013692059555233435
15.0,16.0,rho,pi,-0.10066255977361406
15.0,16.0,rho,phi,0.0038551979257642572
15.0,16.0,rho,delta,-0.0025554968711316607
15.0,16.0,rho,c,8.471813177306161e-30
15.0,16.0,rho,lnV0,-0.0011552190298483947
15.0,16.0,beta,pi,-19.378320707362843
15.0,16.0,beta,phi,0.7222465703541584
15.0,16.0,beta,delta,-0.17620179150375204
15.0,16.0,beta,c,-3.6730205120317016e-28
15.0,16.0,beta,lnV0,-0.530459727929133
15.0,16.0,pi,phi,-32.82699933987858
15.0,16.0,pi,delta,18.20987766835289
