fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,5.999983539219979,5.999983539219979,model,delta
21.0,0.0,12,5.399722501214361,6.5995102244996655,model,delta
21.0,0.0,25,4.751093213388397,7.249067632473849,model,delta
21.0,0.0,37,4.148943042404879,7.85058976046645,model,delta
21.0,0.0,50,3.4995655059667956,8.498949236331734,model,delta
21.0,0.0,62,2.898989907271962,9.10093321033962,model,delta
21.0,0.0,75,2.2493822975826325,9.749933786958609,model,delta
21.0,0.0,87,1.6500841731015843,10.349091969716184,model,delta
21.0,0.0,95,1.2499393740538574,10.749873403607399,model,delta
21.0,1.0,0,4.639031062105104,4.639031062105104,model,delta
21.0,1.0,12,4.192104684011431,5.26560621499634,model,delta
21.0,1.0,25,3.6592010315882146,5.845625515424915,model,delta
21.0,1.0,37,3.2437510180543487,6.453671934013328,model,delta
21.0,1.0,50,2.653844126775186,7.276422694584135,model,delta
21.0,1.0,62,2.2980280828646995,8.25059441993034,model,delta
21.0,1.0,75,1.7981342471779804,8.96275374565782,model,delta
21.0,1.0,87,1.4309860785586228,9.870857028749834,model,delta
21.0,1.0,95,1.155905087396786,10.477789733834761,model,delta
21.0,2.0,0,4.985633604881567,4.985633604881567,model,delta
21.0,2.0,12,4.520646608349175,5.526664141104222,model,delta
21.0,2.0,25,4.016323539952298,6.082903688094181,model,delta
21.0,2.0,37,3.5928760207918913,6.696601529617126,model,delta
21.0,2.0,50,3.0720664562135003,7.595829933744411,model,delta
21.0,2.0,62,2.5925952515515727,8.3422283355732,model,delta
21.0,2.0,75,2.0335657701918857,9.112536752630312,model,delta
21.0,2.0,87,1.477904761882919,9.929291671047823,model,delta
21.0,2.0,95,1.0129109312313163,10.652023681918333,model,delta
21.0,3.0,0,4.744192984682599,4.744192984682599,model,delta
21.0,3.0,12,4.392419376511178,5.091547076590719,model,delta
21.0,3.0,25,4.029550048677224,5.517690062346597,model,delta
21.0,3.0,37,3.6972462448812244,5.917045886741297,model,delta
21.0,3.0,50,3.3219366745051286,6.401417347246804,model,delta
21.0,3.0,62,2.9026408466054776,7.017814696018902,model,delta
21.0,3.0,75,2.421146189616127,7.93782840799454,model,delta
21.0,3.0,87,1.8430316336367838,8.952281234307135,model,delta
21.0,3.0,95,1.272536371810653,9.942644086647135,model,delta
21.0,4.0,0,4.560357241153523,4.560357241153523,model,delta
21.0,4.0,12,4.327776532183272,4.803370908865106,model,delta
21.0,4.0,25,4.07895560044622,5.075548604580727,model,delta
21.0,4.0,37,3.843673572981052,5.34839113961067,model,delta
21.0,4.0,50,3.602161250979928,5.712680989920164,model,delta
21.0,4.0,62,3.3173991888357333,6.0695186073852145,model,delta
21.0,4.0,75,2.9271458506982633,6.645680934011613,model,delta
21.0,4.0,87,2.4711025912969524,7.660105703964949,model,delta
21.0,4.0,95,1.9335179653329215,8.803000780363805,model,delta
21.0,5.0,0,4.057696646232289,4.057696646232289,model,delta
21.0,5.0,12,3.928408521219186,4.226108823866426,model,delta
21.0,5.0,25,3.748511737406292,4.398920063126277,model,delta
21.0,5.0,37,3.6223444162347507,4.584395510884075,model,delta
21.0,5.0,50,3.443066026781335,4.804104110409203,model,delta
21.0,5.0,62,3.245175157207385,5.050755686260721,model,delta
21.0,5.0,75,2.977783520623173,5.414718465547589,model,delta
21.0,5.0,87,2.6582758446062478,5.937399655059764,model,delta
21.0,5.0,95,2.2979685478291993,6.70875140832602,model,delta
21.0,6.0,0,4.0360810696436,4.0360810696436,model,delta
21.0,6.0,12,3.941425615171877,4.147337285690437,model,delta
21.0,6.0,25,3.8031735976510737,4.292443642923345,model,delta
21.0,6.0,37,3.692553526396281,4.420144083495776,model,delta
21.0,6.0,50,3.561716078097371,4.596660033745805,model,delta
21.0,6.0,62,3.431832138738611,4.771232848293334,model,delta
21.0,6.0,75,3.2314788667865906,5.006889586145667,model,delta
21.0,6.0,87,2.9581044350538614,5.415197545807221,model,delta
21.0,6.0,95,2.663668383461808,5.994957367283494,model,delta
21.0,7.0,0,3.9879793086401545,3.9879793086401545,model,delta
21.0,7.0,12,3.9044713732494434,4.06720417180165,model,delta
21.0,7.0,25,3.796798415580051,4.164713879777515,model,delta
21.0,7.0,37,3.704355784283708,4.282740263398152,model,delta
21.0,7.0,50,3.6149442986124436,4.408000967072582,model,delta
21.0,7.0,62,3.4876391895215972,4.5472677435345075,model,delta
21.0,7.0,75,3.3414462994073926,4.746223241017761,model,delta
21.0,7.0,87,3.142705448215213,5.013848681103893,model,delta
21.0,7.0,95,2.8748578423435034,5.517690062346597,model,delta
21.0,8.0,0,3.920359713682466,3.920359713682466,model,delta
21.0,8.0,12,3.840135725555257,3.9931628362949745,model,delta
21.0,8.0,25,3.7625385091286807,4.071054047281644,model,delta
21.0,8.0,37,3.6842153523310115,4.158593695631634,model,delta
21.0,8.0,50,3.597916458968542,4.256252303503589,model,delta
21.0,8.0,62,3.513987556392377,4.363014024530925,model,delta
21.0,8.0,75,3.386033253783144,4.525128689299461,model,delta
21.0,8.0,87,3.225758457596223,4.746249743819112,model,delta
21.0,8.0,95,3.005054571441832,5.097873175039068,model,delta
21.0,9.0,0,4.4922270039913235,4.4922270039913235,model,delta
21.0,9.0,12,4.430456238551084,4.556535825405199,model,delta
21.0,9.0,25,4.366956369734384,4.631350738300111,model,delta
21.0,9.0,37,4.305505990397742,4.706494440367226,model,delta
21.0,9.0,50,4.236775013134711,4.7902067065949545,model,delta
21.0,9.0,62,4.156968215481424,4.881366513147385,model,delta
21.0,9.0,75,4.069101136067604,5.034309069804541,model,delta
21.0,9.0,87,3.9511203175630367,5.249773252776862,model,delta
21.0,9.0,95,3.7729207815625694,5.731069008955912,model,delta
21.0,10.0,0,4.063495800945994,4.063495800945994,model,delta
21.0,10.0,12,3.996744252153884,4.132279286175397,model,delta
21.0,10.0,25,3.931891155148889,4.218274389854157,model,delta
21.0,10.0,37,3.8717359642712923,4.311014957932749,model,delta
21.0,10.0,50,3.793623711697461,4.402606178042852,model,delta
21.0,10.0,62,3.7075558213146707,4.5032043268267214,model,delta
21.0,10.0,75,3.5992818720690103,4.6431108672191534,model,delta
21.0,10.0,87,3.446471530673274,4.857523565618726,model,delta
21.0,10.0,95,3.2830714779697185,5.250826388594781,model,delta
21.0,11.0,0,3.9219551088625173,3.9219551088625173,model,delta
21.0,11.0,12,3.8602438917655437,3.992498209196814,model,delta
21.0,11.0,25,3.7851204917222416,4.0709063609129625,model,delta
21.0,11.0,37,3.7126385472577783,4.145904120101685,model,delta
21.0,11.0,50,3.62071495122621,4.25226586210848,model,delta
21.0,11.0,62,3.523183120825175,4.373208289272967,model,delta
21.0,11.0,75,3.3966692833858994,4.51854069410862,model,delta
21.0,11.0,87,3.261064574990656,4.705906002741721,model,delta
21.0,11.0,95,3.133186088962357,5.070757832800719,model,delta
21.0,12.0,0,3.9467031171737306,3.9467031171737306,model,delta
21.0,12.0,12,3.881264000888563,4.012505270219156,model,delta
21.0,12.0,25,3.8130529332188274,4.089777497735896,model,delta
21.0,12.0,37,3.7473777523219782,4.163572911021093,model,delta
21.0,12.0,50,3.6562932722923067,4.277533030570571,model,delta
21.0,12.0,62,3.557302142497595,4.38460557767023,model,delta
21.0,12.0,75,3.4254916835131333,4.522324862478422,model,delta
21.0,12.0,87,3.2862676483060174,4.705790865792192,model,delta
21.0,12.0,95,3.171707863583144,5.009438372507975,model,delta
21.0,13.0,0,3.9464849023376596,3.9464849023376596,model,delta
21.0,13.0,12,3.8810635420066344,4.012505270219156,model,delta
21.0,13.0,25,3.8130529332188274,4.089777497735896,model,delta
21.0,13.0,37,3.7473816413480385,4.162177845141716,model,delta
21.0,13.0,50,3.6574145343078053,4.275941536667724,model,delta
21.0,13.0,62,3.5573457000153414,4.38460557767023,model,delta
21.0,13.0,75,3.4259159954023075,4.521489539734885,model,delta
21.0,13.0,87,3.2867502804139845,4.6995810677396275,model,delta
21.0,13.0,95,3.171707863583144,4.989240315905165,model,delta
21.0,14.0,0,3.9464849023376596,3.9464849023376596,model,delta
21.0,14.0,12,3.8810635420066344,4.012505270219156,model,delta
21.0,14.0,25,3.8138830344982813,4.089777497735896,model,delta
21.0,14.0,37,3.7473816413480385,4.162177845141716,model,delta
21.0,14.0,50,3.658620863766053,4.27353534881299,model,delta
21.0,14.0,62,3.5581029046256307,4.384130984831512,model,delta
21.0,14.0,75,3.4270410072424324,4.521489539734885,model,delta
21.0,14.0,87,3.2867502804139845,4.6995810677396275,model,delta
21.0,14.0,95,3.171707863583144,4.9857831029019835,model,delta
21.0,15.0,0,3.9464849023376596,3.9464849023376596,model,delta
21.0,15.0,12,3.8810635420066344,4.012505270219156,model,delta
21.0,15.0,25,3.8138830344982813,4.089777497735896,model,delta
21.0,15.0,37,3.7473816413480385,4.162177845141716,model,delta
21.0,15.0,50,3.658620863766053,4.27353534881299,model,delta
21.0,15.0,62,3.5581029046256307,4.384130984831512,model,delta
21.0,15.0,75,3.4270410072424324,4.521489539734885,model,delta
21.0,15.0,87,3.2867502804139845,4.6995810677396275,model,delta
21.0,15.0,95,3.171707863583144,4.9857831029019835,model,delta
