fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,0.05000588187886186,0.05000588187886186,model,rho
21.0,0.0,12,0.04400180448518434,0.055999706061122784,model,rho
21.0,0.0,25,0.03749534317624785,0.062494142566959794,model,rho
21.0,0.0,37,0.03149252735504894,0.06849236223338631,model,rho
21.0,0.0,50,0.02499151510479327,0.07499384876059975,model,rho
21.0,0.0,62,0.019002796446726457,0.0809972297439765,model,rho
21.0,0.0,75,0.012509216576916928,0.08750143446466445,model,rho
21.0,0.0,87,0.006496780481598832,0.09350785180841278,model,rho
21.0,0.0,95,0.0024953319319721097,0.09749616733489369,model,rho
21.0,1.0,0,0.04914640684685686,0.04914640684685686,model,rho
21.0,1.0,12,0.04140249598844824,0.05521741224135938,model,rho
21.0,1.0,25,0.036221767509391316,0.06275206356749276,model,rho
21.0,1.0,37,0.029460840172850607,0.07037821083771131,model,rho
21.0,1.0,50,0.023546828047455802,0.07762886713115888,model,rho
21.0,1.0,62,0.019091496304526865,0.08320030613282837,model,rho
21.0,1.0,75,0.011935118514771933,0.08863193583164407,model,rho
21.0,1.0,87,0.006081921276170409,0.09340275746076329,model,rho
21.0,1.0,95,0.0026696926167725805,0.0967987085649393,model,rho
21.0,2.0,0,0.04854781778703037,0.04854781778703037,model,rho
21.0,2.0,12,0.041918708103910414,0.05622020771780275,model,rho
21.0,2.0,25,0.03549917129255377,0.063383847656217,model,rho
21.0,2.0,37,0.029813351782743226,0.07054962134782285,model,rho
21.0,2.0,50,0.023468115423313014,0.07664801322601575,model,rho
21.0,2.0,62,0.018408837326847304,0.08219189303733762,model,rho
21.0,2.0,75,0.012461129008814695,0.08850057886482596,model,rho
21.0,2.0,87,0.005443264253921745,0.09504299802236799,model,rho
21.0,2.0,95,0.0001,0.1,model,rho
21.0,3.0,0,0.04889210378413011,0.04889210378413011,model,rho
21.0,3.0,12,0.04210653032640093,0.05654992907137622,model,rho
21.0,3.0,25,0.03587549132956838,0.06365014173896026,model,rho
21.0,3.0,37,0.03053968532386445,0.07075182181667523,model,rho
21.0,3.0,50,0.02386645272529868,0.07699140395839218,model,rho
21.0,3.0,62,0.018758284441366714,0.08251462747575126,model,rho
21.0,3.0,75,0.012984303752854877,0.08889015922069586,model,rho
21.0,3.0,87,0.00576631585732622,0.09523075567363594,model,rho
21.0,3.0,95,0.00013051068677783807,0.1,model,rho
21.0,4.0,0,0.05038498000403438,0.05038498000403438,model,rho
21.0,4.0,12,0.04330314406544221,0.05752161773897812,model,rho
21.0,4.0,25,0.03721624770112628,0.06481070657524302,model,rho
21.0,4.0,37,0.03175458089966895,0.07104679709310006,model,rho
21.0,4.0,50,0.025119376924419137,0.07777759475003325,model,rho
21.0,4.0,62,0.01983970958409921,0.08330680211463452,model,rho
21.0,4.0,75,0.013650080806157271,0.08970666398339103,model,rho
21.0,4.0,87,0.006594723095937238,0.09569970386940242,model,rho
21.0,4.0,95,0.000558623071317918,0.1,model,rho
21.0,5.0,0,0.050874837218047045,0.050874837218047045,model,rho
21.0,5.0,12,0.04333981116503693,0.05733766165474426,model,rho
21.0,5.0,25,0.03753621100012544,0.06372001539349985,model,rho
21.0,5.0,37,0.031997225182527206,0.07047603427804428,model,rho
21.0,5.0,50,0.025737256713763777,0.07738989928197229,model,rho
21.0,5.0,62,0.019960968810840397,0.08286644684088552,model,rho
21.0,5.0,75,0.013798775080390603,0.0895410357710398,model,rho
21.0,5.0,87,0.006533427466583964,0.09561337114621961,model,rho
21.0,5.0,95,0.0010394584605261815,0.1,model,rho
21.0,6.0,0,0.05079158462545407,0.05079158462545407,model,rho
21.0,6.0,12,0.04330314406544221,0.05710088875299519,model,rho
21.0,6.0,25,0.0375433677687778,0.06344920742073963,model,rho
21.0,6.0,37,0.03211617278538348,0.06955078322610421,model,rho
21.0,6.0,50,0.025786845770311467,0.0763994989665033,model,rho
21.0,6.0,62,0.019907186223216376,0.08262482081723893,model,rho
21.0,6.0,75,0.013760421449768585,0.08889015922069586,model,rho
21.0,6.0,87,0.005810075739188173,0.09559802002853904,model,rho
21.0,6.0,95,0.0010394584605261815,0.1,model,rho
21.0,7.0,0,0.050874837218047045,0.050874837218047045,model,rho
21.0,7.0,12,0.04330314406544221,0.05710088875299519,model,rho
21.0,7.0,25,0.03756530732169613,0.06320308494519375,model,rho
21.0,7.0,37,0.03228547633252715,0.06930729514095907,model,rho
