unit,time,prob,ymin,ymax
V,0.0,95,5.000000000000001,146.99999999999997
V,0.0,87,9.0,140.99999999999991
V,0.0,75,18.999999999999996,130.00000000000006
V,0.0,62,28.0,118.00000000000003
V,0.0,50,35.0,107.00000000000001
V,0.0,37,46.0,92.99999999999999
V,0.0,25,57.00000000000001,89.0
V,0.0,12,64.99999999999999,78.99999999999999
V,0.0,0,74.00000000000001,74.00000000000001
V,1.0,95,554.2228263196325,16324.749995108667
V,1.0,87,807.1398525610373,13089.714620698944
V,1.0,75,1082.7896676876023,10557.566542486067
V,1.0,62,1556.5390501386662,9101.506511075517
V,1.0,50,1877.7165753695056,7312.09456235861
V,1.0,37,2262.0543924123576,6093.202078050555
V,1.0,25,2814.7094526279475,5335.458486593412
V,1.0,12,3360.7657337981054,4238.157483593979
V,1.0,0,3645.7629135586576,3645.7629135586576
V,2.0,95,1760048.7666553787,26468390.18962634
V,2.0,87,2106954.222691188,16501824.381599147
V,2.0,75,2376224.8978896183,13336233.660375321
V,2.0,62,2663912.451648609,11659751.039059145
V,2.0,50,2973354.32489436,9143509.062081058
V,2.0,37,3214858.074567123,7216941.931844297
V,2.0,25,3671826.3249754864,6124725.583678679
V,2.0,12,3999298.9333734787,5155195.746752363
V,2.0,0,4517826.18206662,4517826.18206662
V,3.0,95,118072868.20933987,452716485.0254012
V,3.0,87,207361948.6934456,429660787.4110466
V,3.0,75,236793314.54037708,402118246.1443696
V,3.0,62,255682686.3032652,381072489.7648934
V,3.0,50,272786212.6621389,363732366.13584465
V,3.0,37,288876530.2985246,349637446.6320185
V,3.0,25,298729166.73731625,342686317.88815665
V,3.0,12,311291374.0973634,332073401.0628797
V,3.0,0,320735076.5060374,320735076.5060374
V,4.0,95,28175106.342969134,146222242.07629976
V,4.0,87,32594690.441370264,101119747.14669935
V,4.0,75,36313594.14680908,80240679.49746102
V,4.0,62,40110305.271555595,72702115.93441316
V,4.0,50,42562100.50783653,67518885.89818127
V,4.0,37,45736105.190403685,62742770.29218447
V,4.0,25,47865010.2749754,57970415.340614654
V,4.0,12,50288069.457459405,55119551.962933056
V,4.0,0,52496090.82440473,52496090.82440473
V,5.0,95,3517548.758444289,19700323.343476817
V,5.0,87,4199428.4632674,15776168.925523682
V,5.0,75,4999341.649652707,13711345.497004677
V,5.0,62,5698494.442278085,12416543.497517582
V,5.0,50,6174268.433266332,11279491.952363705
V,5.0,37,6704343.963236799,10088072.581338009
V,5.0,25,7141094.046370017,9338031.33625533
V,5.0,12,7666319.4356428115,8681537.179688144
V,5.0,0,8159911.379168474,8159911.379168474
V,6.0,95,641792.9672304797,3963584.6365340166
V,6.0,87,784805.7602897716,3294370.699501148
V,6.0,75,948049.3209829249,2947718.4995735614
V,6.0,62,1105045.9759941164,2659353.974981181
V,6.0,50,1219641.3454753675,2401006.6061610007
V,6.0,37,1330148.3301721548,2117114.829819732
V,6.0,25,1454398.6022601584,1957440.689763029
V,6.0,12,1544348.8406380452,1804709.8380881287
V,6.0,0,1678295.474253893,1678295.474253893
V,7.0,95,104376.83421848979,905971.8454271556
V,7.0,87,133334.31193148298,723355.7979953319
V,7.0,75,167898.26858602112,629281.0729683111
V,7.0,62,199384.70526287175,563052.7275782868
V,7.0,50,226082.99969162018,497833.0400908924
V,7.0,37,248056.8384435519,431936.67575272097
V,7.0,25,276147.7509402071,394739.1352845892
V,7.0,12,296274.01943377533,358332.0151584433
V,7.0,0,326799.9092446354,326799.9092446354
V,8.0,95,15671.277037444966,195210.28606319518
V,8.0,87,20816.42313210128,152228.71506725755
V,8.0,75,27649.59600114577,131489.91550822457
V,8.0,62,33503.405935245384,115864.285651911
V,8.0,50,39075.29803924031,98747.26635928695
V,8.0,37,44556.09156988862,83829.77584549483
V,8.0,25,49516.76908319528,74408.78504110099
V,8.0,12,53709.57163841812,68023.75194630276
V,8.0,0,59343.0210369776,59343.0210369776
V,9.0,95,2438.487087383148,41776.618425038854
V,9.0,87,3418.870007714242,32621.49212848178
V,9.0,75,4705.0918369501715,27466.92483290634
V,9.0,62,5759.516763886506,24049.425055131163
V,9.0,50,6953.284383607807,19768.114743416514
V,9.0,37,8079.743867304597,16838.36992753979
V,9.0,25,8953.271941758572,14610.422492305297
V,9.0,12,10107.063566230341,12868.080596518723
V,9.0,0,11272.32545988227,11272.32545988227
V,10.0,95,349.78039481880626,9203.309665514054
V,10.0,87,541.5359277232752,6943.867098012163
V,10.0,75,802.146252484162,5745.220343940378
V,10.0,62,1022.7831431903625,4938.4121087208905
V,10.0,50,1244.1029500445818,3925.276817226675
V,10.0,37,1451.7434766252159,3374.6159143663103
V,10.0,25,1663.5724303036561,2888.3809033241687
V,10.0,12,1886.820746467795,2479.3412357378556
V,10.0,0,2161.171875268303,2161.171875268303
V,11.0,95,49.99999999999999,2097.651917593504
V,11.0,87,95.00000000000001,1511.2800033506176
V,11.0,75,137.67214215451094,1198.1617280782395
V,11.0,62,180.8784479780567,973.1747972853017
V,11.0,50,230.2447528165686,813.7715729871303
V,11.0,37,276.12376561650825,679.0359421238834
V,11.0,25,320.6369095395161,576.881707459598
V,11.0,12,369.38882289788484,485.9447014167218
V,11.0,0,427.59934403647804,427.59934403647804
V,12.0,95,5.000000000000001,492.0857180500736
V,12.0,87,22.999999999999996,353.4184700776778
V,12.0,75,37.99999999999999,270.33172628952065
V,12.0,62,46.0,221.24312380607697
V,12.0,50,52.999999999999986,185.16459990329415
V,12.0,37,62.0,152.24358616151048
V,12.0,25,76.0,132.89761098754244
V,12.0,12,90.00000000000003,113.99363312103037
V,12.0,0,101.76196525706234,101.76196525706234
V,13.0,95,1.0,127.66450306100087
V,13.0,87,1.0,95.00000000000001
V,13.0,75,1.0,70.99999999999999
V,13.0,62,2.0,54.000000000000014
V,13.0,50,5.000000000000001,47.99999999999999
V,13.0,37,10.0,44.0
V,13.0,25,16.0,40.99999999999999
V,13.0,12,25.000000000000007,37.0
V,13.0,0,32.00000000000001,32.00000000000001
V,14.0,95,1.0,16.0
V,14.0,87,1.0,3.0
V,14.0,75,1.0,1.0
V,14.0,62,1.0,1.0
V,14.0,50,1.0,1.0
V,14.0,37,1.0,1.0
V,14.0,25,1.0,1.0
V,14.0,12,1.0,1.0
V,14.0,0,1.0,1.0
V,15.0,95,1.0,1.0
V,15.0,87,1.0,1.0
V,15.0,75,1.0,1.0
V,15.0,62,1.0,1.0
V,15.0,50,1.0,1.0
V,15.0,37,1.0,1.0
V,15.0,25,1.0,1.0
V,15.0,12,1.0,1.0
V,15.0,0,1.0,1.0
V,15.0,95,1.0,1.0
V,15.0,87,1.0,1.0
V,15.0,75,1.0,1.0
V,15.0,62,1.0,1.0
V,15.0,50,1.0,1.0
V,15.0,37,1.0,1.0
V,15.0,25,1.0,1.0
V,15.0,12,1.0,1.0
V,15.0,0,1.0,1.0
V,16.0,95,1.0,1.0
V,16.0,87,1.0,1.0
V,16.0,75,1.0,1.0
V,16.0,62,1.0,1.0
V,16.0,50,1.0,1.0
V,16.0,37,1.0,1.0
V,16.0,25,1.0,1.0
V,16.0,12,1.0,1.0
V,16.0,0,1.0,1.0
V,17.0,95,1.0,1.0
V,17.0,87,1.0,1.0
V,17.0,75,1.0,1.0
V,17.0,62,1.0,1.0
V,17.0,50,1.0,1.0
V,17.0,37,1.0,1.0
V,17.0,25,1.0,1.0
V,17.0,12,1.0,1.0
V,17.0,0,1.0,1.0
V,18.0,95,1.0,1.0
V,18.0,87,1.0,1.0
V,18.0,75,1.0,1.0
V,18.0,62,1.0,1.0
V,18.0,50,1.0,1.0
V,18.0,37,1.0,1.0
V,18.0,25,1.0,1.0
V,18.0,12,1.0,1.0
V,18.0,0,1.0,1.0
V,19.0,95,1.0,1.0
V,19.0,87,1.0,1.0
V,19.0,75,1.0,1.0
V,19.0,62,1.0,1.0
V,19.0,50,1.0,1.0
V,19.0,37,1.0,1.0
V,19.0,25,1.0,1.0
V,19.0,12,1.0,1.0
V,19.0,0,1.0,1.0
V,20.0,95,1.0,1.0
V,20.0,87,1.0,1.0
V,20.0,75,1.0,1.0
V,20.0,62,1.0,1.0
V,20.0,50,1.0,1.0
V,20.0,37,1.0,1.0
V,20.0,25,1.0,1.0
V,20.0,12,1.0,1.0
V,20.0,0,1.0,1.0
V,21.0,95,1.0,1.0
V,21.0,87,1.0,1.0
V,21.0,75,1.0,1.0
V,21.0,62,1.0,1.0
V,21.0,50,1.0,1.0
V,21.0,37,1.0,1.0
V,21.0,25,1.0,1.0
V,21.0,12,1.0,1.0
V,21.0,0,1.0,1.0
