fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,424.9952487499968,424.9952487499968,model,pi
21.0,0.0,12,415.99699577283116,433.99973191937215,model,pi
21.0,0.0,25,406.25321127923377,443.7456569314477,model,pi
21.0,0.0,37,397.2527345339462,452.7533954219186,model,pi
21.0,0.0,50,387.49994768082325,462.5064686646904,model,pi
21.0,0.0,62,378.4993967536003,471.4963100527854,model,pi
21.0,0.0,75,368.7480195556327,481.2411962484174,model,pi
21.0,0.0,87,359.7390876392241,490.24662905111313,model,pi
21.0,0.0,95,353.74960051546856,496.25194258632996,model,pi
21.0,1.0,0,443.039328128536,443.039328128536,model,pi
21.0,1.0,12,433.98309342956867,452.6874998675055,model,pi
21.0,1.0,25,424.4504829139015,461.2866962199077,model,pi
21.0,1.0,37,417.08763834648335,467.7460079337551,model,pi
21.0,1.0,50,406.7897896117504,474.37147171001686,model,pi
21.0,1.0,62,395.21571123776664,481.36012120174837,model,pi
21.0,1.0,75,382.149816848114,487.88000843155703,model,pi
21.0,1.0,87,365.94860766539773,495.2213721304928,model,pi
21.0,1.0,95,354.32999338401356,501.8312168274557,model,pi
21.0,2.0,0,445.040459330208,445.040459330208,model,pi
21.0,2.0,12,436.45468255951386,454.7096110907842,model,pi
21.0,2.0,25,426.7426246054355,462.7469410201013,model,pi
21.0,2.0,37,418.9570824161309,468.86320215724754,model,pi
21.0,2.0,50,409.78057422039484,475.239829724162,model,pi
21.0,2.0,62,397.7096400952012,481.8632265075814,model,pi
21.0,2.0,75,385.26591068031325,488.24509060055186,model,pi
21.0,2.0,87,368.01446318990145,495.35952340312616,model,pi
21.0,2.0,95,355.02430988254656,501.909024658345,model,pi
21.0,3.0,0,444.45738704178245,444.45738704178245,model,pi
21.0,3.0,12,435.39156951645487,454.4907162705802,model,pi
21.0,3.0,25,425.9980477391897,462.7348334175681,model,pi
21.0,3.0,37,418.44074440839563,468.68913554856545,model,pi
21.0,3.0,50,408.87940151681084,475.1460522384149,model,pi
21.0,3.0,62,396.7419582704758,481.5493246015022,model,pi
21.0,3.0,75,383.6689708044263,487.90804862488625,model,pi
21.0,3.0,87,367.2805201084165,495.2581255659747,model,pi
21.0,3.0,95,354.51263576908855,501.80983750236567,model,pi
21.0,4.0,0,445.01478651798465,445.01478651798465,model,pi
21.0,4.0,12,436.1475220181801,455.45321486483493,model,pi
21.0,4.0,25,426.53691806710276,463.79047371035784,model,pi
21.0,4.0,37,418.6951201070897,469.6590026545737,model,pi
21.0,4.0,50,409.15845175001857,475.7055482744078,model,pi
