fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,2.499625541465055,2.499625541465055,model,lnV0
21.0,0.0,12,2.2004540510246033,2.7996033419923214,model,lnV0
21.0,0.0,25,1.8746477999350843,3.1249753916885137,model,lnV0
21.0,0.0,37,1.5750295654014195,3.4249900399860254,model,lnV0
21.0,0.0,50,1.249943479295527,3.7508214344370403,model,lnV0
21.0,0.0,62,0.9501191350455721,4.049345290941495,model,lnV0
21.0,0.0,75,0.6249665981131352,4.3755929234458275,model,lnV0
21.0,0.0,87,0.32486406930150635,4.675871868296959,model,lnV0
21.0,0.0,95,0.12517111150246296,4.875714654916569,model,lnV0
21.0,1.0,0,3.968580969560276,3.968580969560276,model,lnV0
21.0,1.0,12,3.8393545596361367,4.110675977452961,model,lnV0
21.0,1.0,25,3.7007883325607613,4.262181461977367,model,lnV0
21.0,1.0,37,3.448101093942336,4.361244756072578,model,lnV0
21.0,1.0,50,3.214168815639289,4.508437360378767,model,lnV0
21.0,1.0,62,2.8775509622696256,4.618474819863455,model,lnV0
21.0,1.0,75,2.360954566932516,4.7478105524287635,model,lnV0
21.0,1.0,87,1.8061607962033244,4.866440625272458,model,lnV0
21.0,1.0,95,0.9478863245900297,4.956521851712213,model,lnV0
21.0,2.0,0,3.9723203730803354,3.9723203730803354,model,lnV0
21.0,2.0,12,3.841819475352697,4.118925259990619,model,lnV0
21.0,2.0,25,3.70492362550796,4.267190870013255,model,lnV0
21.0,2.0,37,3.4511758087872115,4.3664509850313875,model,lnV0
21.0,2.0,50,3.2161489437508948,4.508437360378767,model,lnV0
21.0,2.0,62,2.8932469002018815,4.61731906026077,model,lnV0
21.0,2.0,75,2.4170945055282473,4.7478105524287635,model,lnV0
21.0,2.0,87,1.8061607962033244,4.866440625272458,model,lnV0
21.0,2.0,95,0.978167761525237,4.956521851712213,model,lnV0
21.0,3.0,0,3.9737675353719624,3.9737675353719624,model,lnV0
21.0,3.0,12,3.8115562995246206,4.102102331971134,model,lnV0
21.0,3.0,25,3.6212651663446564,4.242822703672345,model,lnV0
