fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,5.000512405104322,5.000512405104322,model,phi
21.0,0.0,12,4.400047984968522,5.5998610611035575,model,phi
21.0,0.0,25,3.749425725693471,6.2508862728680255,model,phi
21.0,0.0,37,3.1483785573340013,6.850265957477446,model,phi
21.0,0.0,50,2.499632365046785,7.499538384247422,model,phi
21.0,0.0,62,1.9005156214549703,8.101109129619104,model,phi
21.0,0.0,75,1.250340325337179,8.750208970103662,model,phi
21.0,0.0,87,0.651573075131605,9.350200506976632,model,phi
21.0,0.0,95,0.2505528446610031,9.748605829838207,model,phi
21.0,1.0,0,4.584789247344996,4.584789247344996,model,phi
21.0,1.0,12,4.029212624600983,5.353436670611455,model,phi
21.0,1.0,25,3.552499639856265,5.976193626999448,model,phi
21.0,1.0,37,2.901200677690116,6.6083469550477005,model,phi
21.0,1.0,50,2.357326609368364,7.367638527544544,model,phi
21.0,1.0,62,1.9298146654061568,8.223157941118451,model,phi
21.0,1.0,75,1.3417530790226304,8.953505307766546,model,phi
21.0,1.0,87,0.6945611532822464,9.445473265479539,model,phi
21.0,1.0,95,0.36206577790911326,9.788550631235434,model,phi
21.0,2.0,0,5.057286017442127,5.057286017442127,model,phi
21.0,2.0,12,4.349640137755413,5.678939069575915,model,phi
21.0,2.0,25,3.7812164748606114,6.235976271446949,model,phi
21.0,2.0,37,3.2519367794100154,6.97190520815015,model,phi
21.0,2.0,50,2.616313784666124,7.5298618928071175,model,phi
21.0,2.0,62,2.08644296330046,8.410706058837246,model,phi
21.0,2.0,75,1.460721139956926,8.992591178629395,model,phi
21.0,2.0,87,0.7389238541189901,9.49207233113068,model,phi
21.0,2.0,95,0.3786948052211319,9.804760373835967,model,phi
21.0,3.0,0,3.9131716808559176,3.9131716808559176,model,phi
21.0,3.0,12,3.3418778902081216,4.440511880851546,model,phi
21.0,3.0,25,2.7527144200124303,5.179850425514422,model,phi
21.0,3.0,37,2.17461439796966,5.808795444227484,model,phi
21.0,3.0,50,1.6951718823707271,6.757569469200639,model,phi
21.0,3.0,62,1.2785592152763874,7.707532241939859,model,phi
21.0,3.0,75,0.786821361282259,8.632143249638236,model,phi
21.0,3.0,87,0.31576650678314694,9.348207011498122,model,phi
21.0,3.0,95,0.0001,10.061064985752132,model,phi
21.0,4.0,0,4.365435955315396,4.365435955315396,model,phi
21.0,4.0,12,3.884386186226877,4.947092298845229,model,phi
21.0,4.0,25,3.290985797125294,5.591073890842238,model,phi
21.0,4.0,37,2.7681080490375045,6.358033547662967,model,phi
21.0,4.0,50,2.1468705288916228,7.141383624815025,model,phi
21.0,4.0,62,1.6772689205000129,8.02464957524518,model,phi
21.0,4.0,75,1.1489127127181098,8.770644154564748,model,phi
21.0,4.0,87,0.5806675231882222,9.411839538094087,model,phi
21.0,4.0,95,0.002830911512126777,10.119307872416599,model,phi
21.0,5.0,0,5.328927634096596,5.328927634096596,model,phi
21.0,5.0,12,4.8258205726807795,5.792832384907527,model,phi
21.0,5.0,25,4.33693783398829,6.5503409104506005,model,phi
21.0,5.0,37,3.907652927160357,7.26025414487945,model,phi
21.0,5.0,50,3.291990143956391,8.066139625019302,model,phi
21.0,5.0,62,2.719385313805482,8.63312072848014,model,phi
21.0,5.0,75,2.0261568556991185,9.132215582165813,model,phi
21.0,5.0,87,1.3098193212820632,9.681990994466181,model,phi
21.0,5.0,95,0.5807821118322926,10.203764478367233,model,phi
21.0,6.0,0,5.40820816846268,5.40820816846268,model,phi
21.0,6.0,12,4.9329929344074595,5.868057062173124,model,phi
21.0,6.0,25,4.476150157255671,6.625779175774975,model,phi
