unit,time,prob,ymin,ymax
V,0.0,95,2.0,144.00000000000003
V,0.0,87,6.0,132.00000000000006
V,0.0,75,11.000000000000002,124.99999999999994
V,0.0,62,20.000000000000004,108.00000000000004
V,0.0,50,23.999999999999993,102.99999999999996
V,0.0,37,34.0,91.00000000000001
V,0.0,25,46.0,83.00000000000001
V,0.0,12,58.00000000000001,70.99999999999999
V,0.0,0,63.0,63.0
V,1.0,95,96.0,6925.401281716354
V,1.0,87,148.93216566948303,4770.861649296175
V,1.0,75,270.5385892578448,3049.7371361030628
V,1.0,62,369.13003907164864,2667.463842764057
V,1.0,50,452.51801010303825,2104.426882479701
V,1.0,37,577.5714502441022,1611.2053564318492
V,1.0,25,637.057085667846,1428.3108129334464
V,1.0,12,745.5750710981606,1160.5947729782185
V,1.0,0,946.3837041243526,946.3837041243526
V,2.0,95,434112.38737339695,10616930.120222427
V,2.0,87,934525.5247014544,6972886.502674475
V,2.0,75,1401668.8581503613,5712387.845396805
V,2.0,62,1602447.2950911138,4598975.287337759
V,2.0,50,1717449.9236230915,3780940.4207306523
V,2.0,37,2024670.120029356,3265856.6753915097
V,2.0,25,2215671.9306585104,2896250.3301966777
V,2.0,12,2356669.2444266006,2601237.437151638
V,2.0,0,2448107.922573517,2448107.922573517
V,3.0,95,16145203.831268562,260230186.56959936
V,3.0,87,34383951.85951725,243202020.13769925
V,3.0,75,58104896.232780896,220059557.99672714
V,3.0,62,78577016.58753769,207909811.45597157
V,3.0,50,89379113.30320005,193174707.23413423
V,3.0,37,111909525.5292138,185624177.00593874
V,3.0,25,126595341.90077606,174302319.6823655
V,3.0,12,137502739.93887597,165208107.92828348
V,3.0,0,146330961.40995756,146330961.40995756
V,4.0,95,12140050.942081485,119644496.97240533
V,4.0,87,14248339.672642402,95143699.77846082
V,4.0,75,17096788.79448527,80845821.61138168
V,4.0,62,20330109.218451526,68270317.6806552
V,4.0,50,22680844.975205787,49404507.09293202
V,4.0,37,24721705.077910863,42905414.19272164
V,4.0,25,26714073.001555253,36244048.30842751
